Model;Name;Price
GP-PCI-E-12VHPWR;Deepcool | Cable | 12VHPR | Black;0.99€
TG-P-01;GEMBIRD TG-P-01 Heatsink silicone thermal pad 100x100x1mm;1.49€
TG-SB-R7000-R;Thermal Grizzly | AM5 Short Backplate | Black | N/A;3.39€
TG-KIS-10-60-50;Thermal Grizzly | Kapton Insulation Sheet;3.39€
TG-BP-R7000-R;Thermal Grizzly | AM5 M4 Backplate | Black | N/A;3.59€
TG-CW-10;Thermal Grizzly | Cleaning Wipes;6.49€
NM-I17XX-MP78;Noctua NM-I17XX-MP78 Kompiuterio aušinimo sistemos dalis arba priedas Montavimo rinkinys;12.89€
NM-I17XX-MP83CH.BK.;NOCTUA NM-I17XX-MP83 CHROMAX.BLACK CPU aušintuvo montavimo rinkinys;13.59€
NM-I17XX-MP78CH.BK.;Noctua NM-I17XX-MP78 chromax.black Montavimo rinkinys;13.79€
NA-FD1;Ventiliacijos kanalas NOCTUA NA-FD1 NH-L9i ir NH-L9a serijos CPU aušintuvams;16.99€
BZ003;be quiet! MC1 PRO Puslaidininkinis diskas Radiatorius Juoda 1 vnt;21.39€
NA-HC8.WHITE;Noctua NA-HC8 chromax white;25.89€
CL-W246-OS00RE-A;Coolant P1000 1L - Red;41.39€
CL-O014-PL00SW-A;THERMALTAKE Lumi RGB Plus Strip 3Pack;63.79€
