Model;Name;Price
INTOEM1700;Intel® Laminar RM1 Cooler Specifications for Intel® Core Processors 12th, 13th and 14th Generation;2.49€
ACALP00035A;CPU COOLER SAM5/SAM4/ALPINE 23 ACALP00035A ARCTIC;6.99€
ACALP00036A;CPU COOLER SAM5/SAM4/ACALP00036 ARCTIC;8.59€
E97379-003;Intel E97379-003 Kompiuterio aušinimo sistema Procesorius Orinis aušintuvas Aliuminis, Juoda;8.69€
ACALP00040A;CPU COOLER S1700/ACALP00040A ARCTIC;9.19€
XC232;XILENCE Performance C I350PWM Cooler for Intel;9.79€
ACALP00041A;CPU COOLER S1700/ACALP00041A ARCTIC;9.79€
BXTSRM1;INTEL Laminar RM1 Cooler;11.79€
CL-P106-AL09WT-A;Thermaltake Contac 9 SE;14.59€
XC025;XILENCE Performance C CPU cooler 2HP Cooler AMD;16.59€
ACFRE00077A;CPU COOLER S_MULTI/ACFRE00077A ARCTIC;18.89€
CL-P094-AL09WT-A;Thermaltake Gravity i3 Procesorius Orinis aušintuvas 9,2 cm Juoda, Nerūdijančiojo plieno 1 vnt;21.29€
FROST X2;SAVIO FROST X2 CPU aušintuvas;21.59€
KRX0135;Krux Integrator RGB 92mm LGA1700 aušintuvas;22.29€
CL-P064-AL12SW-A;THERMALTAKE UX 100 Air Cooler ARGB;23.00€
FROST BLACK X2;Savio SAVGCOFROSTBLACKX2 Kompiuterio aušinimo sistema Radiatorius 12 cm Juoda;23.29€
SAVGCOVORTEXX2;CPU Cooler SAVIO VORTEX X2;24.99€
AEROPGSAIR-FROST2-FR;Aerocool Air Frost 2 Procesorius Aušintuvas 9 cm Juoda;25.59€
BK030;BE QUIET PURE ROCK Slim 2 CPU COOLER;26.39€
EY3A001;ENDORFY Spartan 5 Procesorius Orinis aušintuvas 12 cm Juoda;26.49€
SAVGCOVORTEXX2ARGB;CPU Cooler VORTEC X2 ARGB;26.79€
CGR-FZAE50;COUGAR FORZA50 ESSENTIAL Air Cooling;27.29€
EY3A002;ENDORFY Spartan 5 ARGB CPU Cooler;28.99€
AEROPGSAIR-FROST4-FR;Aerocool Air Frost 4 Procesorius Aušintuvas 9 cm Juoda;29.39€
EY3A003;ENDORFY Spartan 5 MAX CPU Cooler;31.19€
CL-P049-AL09BL-A;CPU COOLER S_MULTI/CL-P049-AL09BL-A THERMALTAKE;32.19€
ACFRE00121A;CPU COOLER S_MULTI/ACFRE00121A ARCTIC;32.99€
AEROPGSRAVE4-FRGB-4P;Aerocool PGS Rave 4 FRGB PWM 4P;33.49€
EY3A004;ENDORFY Spartan 5 MAX ARGB Procesorius Orinis aušintuvas 12 cm Juodas AMD AM4, AM5, Intel LGA1700, LGA1200;33.89€
ACFRE00122A;CPU COOLER S_MULTI/ACFRE00122A ARCTIC;34.69€
CL-P116-AL12SW-A;Thermaltake UX200 SE AR GB Snow;35.29€
NA-HC4.BLACK;Noctua NA-HC4 chromax.black Procesorius Aušintuvas Juoda;36.99€
CGR-FZA50;COUGAR FORZA 50 Air Cooling;37.90€
CL-P065-AL12SW-A;THERMALTAKE UX 200 Air cooler PWM;38.39€
XC044;XILENCE Performance C CPU cooler 4HP Cooler Universal;40.39€
CL-P039-AL12BL-A;THERMALTAKE Contac Silent 12 CPU Cooler Intel Sockel LGA 1155/1156/1151/1150/1366/77AMD Sockel FM2/FM2+/FM1/AM3+/AM3/AM2+/AM;40.89€
EY3A005;ENDORFY Fera 5 CPU Cooler;40.89€
CGR-FZAE85;COUGAR FORZA85 ESSENTIAL Air Cooling;42.39€
AEROPGSRAVE3-FRGB-4P;Aerocool PGS Rave 3 FRGB PWM 4P;42.69€
APNX-AP1-V-ARG-BK;APNX AP1-V ARGB Procesorius Orinis aušintuvas Juoda;42.89€
BK007;BE QUIET PURE ROCK 2 cooler black;43.39€
CL-P074-AL12BL-A;Thermaltake Toughair 310 Procesorius Aušintuvas 12 cm Juoda, Sidabras;44.49€
ACFRE00124A;CPU COOLER S_MULTI/ACFRE00124A ARCTIC;44.59€
EY3A006;ENDORFY Fera 5 Dual Fan CPU Cooler;45.59€
XC081;XILENCE Performance X M906 CPU-Cooler;46.39€
EY3A011;ENDORFY Fera 5 Black, Fluctus 120 PWM fan,  AMD, Intel;46.39€
EY3A012;„Endorfa Fera 5 Black ARGB CPU aušintuvas;47.89€
EY3A007;ENDORFY Fera 5 ARGB CPU Cooler;47.99€
BK002;BE QUIET BK002 Shadow Rock LP LGA1200,LGA1700, AM4, AM5 TDP 130W;48.29€
VK-AIRSL125W;Valkyrie VK-AIRSL125W Kompiuterio aušinimo sistema Procesorius Orinis aušintuvas Juoda;49.19€
BK034;BE QUIET Pure Rock LP CPU Cooler;49.69€
AEROPGSRIME4-ARGP-4P;Aerocool Rime 4 Procesorius Orinis aušintuvas 12 cm Juoda 1 vnt;50.19€
CL-P002-AL14BL-B;THERMALTAKE Frio Silent 14 CPU-Cooler supports all current Intel and AMD platforms up to 165W 140mm fan 3pcs 8mm;50.39€
CL-P079-CA12SW-A;CPU COOLER S_MULTI/CL-P079-CA12SW-A THERMALTAKE;50.69€
BK033;BE QUIET PURE ROCK 2 FX Black;51.59€
RC-TN120-B1;NZXT CPU cooling T120 black;52.89€
RC-TN120-W1;NZXT CPU cooling T120 white;52.89€
CL-P075-AL12BL-A;Thermaltake Toughair 510 Procesorius Aušintuvas 12 cm Juoda;53.39€
R-LE300-BKLNMG-G-1;Deepcool | LE300 Marrs | CPU Liquid Cooler | Black | Intel, AMD;53.59€
RR-D6WW-20PA-R1;Cooler Master | HYPER 622 HALO White | Cooler;54.19€
EY3A008;ENDORFY Fortis 5 CPU Cooler;55.19€
CGR-FZA85;COUGAR FORZA 85 Air Cooling;57.49€
NH-L9A-AM4;Noctua NH-L9a-AM4 - Processor - Cooler - 9.2 cm - Socket AM4 - AMD A - 600 RPM;59.29€
EY3A013;„Endorfa Fortis 5 Black CPU aušintuvas;59.29€
R-ASN4S-WHGPMN-G;Deepcool | CPU Cooler | ASSASSIN 4S WH | Intel, AMD;59.39€
RC-TR120-B1;NZXT CPU cooling T120 RGB black;60.39€
RC-TR120-W1;NZXT T120 RGB Procesorius Orinis aušintuvas 12 cm Balta 1 vnt;60.39€
NH-L9I-17XX;Noctua Kühler NH-L9i 17xx Procesorius Aušintuvas 9,2 cm Rusvai gelsvas, Ruda 1 vnt;60.49€
NH-L9I;Noctua NH-L9i Procesorius Aušintuvas 9,2 cm Rusvai gelsvas, Ruda, Sidabras;60.49€
EY3A009;ENDORFY Fortis 5 Dual Fan CPU Cooler;61.29€
SAVGCOVELOX240MM;WATER COOLING 240 mm SAVIO;62.19€
R-ASN4-WHNNMT-G;Deepcool | ASSASSIN IV WH | Intel, AMD | CPU Cooler;62.99€
BK024;BE QUIET BK024 CPU cooler Dark Rock Slim 1150 1151 1155 1156 1366 2011 AM2 AM3 AM4;63.29€
SNK-P0077P;Supermicro SNK-P0077P Kompiuterio aušinimo sistema Procesorius Radiatorius Juoda, Nerūdijančiojo plieno;63.59€
MLW-D24M-A18PZ-RW;COOLER MASTER CPU water cooling Masterliquid 240L Core ARGB White;66.19€
NH-U12S REDUX;Noctua NH-U12S redux Procesorius Aušintuvas 12 cm Pilka, Nerūdijančiojo plieno;67.19€
EY3A010;ENDORFY Fortis 5 ARGB CPU Cooler;67.19€
EY3A014;„Endorfa Fortis 5 Black ARGB CPU aušintuvas;67.39€
R-LE500-BKLNMG-G-1;Deepcool | LE500 | CPU Liquid Cooler | Black | Intel, AMD;67.79€
NH-L9X65;Noctua NH-L9x65 Procesorius Aušintuvas 9,2 cm;69.59€
MAG CORELIQUID A13 240;MSI MAG CORELIQUID A13 240;69.59€
BK003;BE QUIET BK003 Shadow Rock TF2 CPU cooler 1150 1151 1155 1156 AM4 AM2 + AM3 + FM1-2;70.29€
NH-D9L;Noctua NH-D9L kompiuterio aušinimo komponentas Procesorius Aušintuvas 9,2 cm Metalinis;70.99€
CLC-240-BLK;CHIEFTEC ICEBERG 240 DARK CPU Liquid Cooler;70.99€
NH-L9I-17XXCH.BK.;NOCTUA PROCESORIAUS AUŠINIMAS NH-L9I-17XX CHROMAX BLACK;72.59€
NH-L9I CH.BK;Noctua NH-L9i chromax.black Procesorius Aušintuvas 9,2 cm Juoda  Intel LGA1150, LGA1151, LGA1155, LGA1156, LGA1200;72.59€
CGR-FZA135;COUGAR FORZA 135 Air Cooling, Dual Tower;72.59€
