Model;Name;Price
XF031;XILENCE case fan 40 mm White Box;1.39€
FANCASE-4;GEMBIRD FANCASE-4 PC case fan 80x80x25mm 4pin;1.49€
XF039;XILENCE Performance C case fan 120 mm;3.19€
ACFAN00118A;ARCTIC ACFAN00118A Arctic fan  P12 (black/black);3.99€
XF050;XILENCE Performance C case fan 140 mm;4.19€
ACFAN00150A;CASE FAN 80MM/ACFAN00150A ARCTIC;4.29€
XF046;XILENCE Performance C case fan 120 mm transparent red LED;4.39€
XF042;XILENCE Performance C case fan 120 mm PWM (be orginalios paluotės);4.69€
ACFAN00130A;ARCTIC ACFAN00130A Arctic fan  P12 Silent (black/black);4.79€
NGF-2042;GENESIS Case fan Oxal 120;4.89€
DP-FLED-RF120-BL;Deepcool | Case Fan | RF 120 B | Case fan;4.99€
DP-FLED-RF120-RD;Deepcool | Case Fan | RF 120 R | Case fan;4.99€
DP-FLED-RF120-WH;DEEPCOOL DP-FLED-RF120-WH Deepcool Cooling Fan RF120W;4.99€
DP-FLED-WB120;"120 mm case ventilation fan,  ""Wind Blade 120"", transparent, hydro bearing,4 BLUE LED's deepcool";5.19€
ACFAN00119A;ARCTIC ACFAN00119A Arctic fan  P12 PWM (black/black);5.19€
ACFAN00120A;CASE FAN 120MM/ACFAN00120A ARCTIC;5.19€
XF051;XILENCE Performance C case fan 140 mm PWM;5.49€
ACFAN00286A;CASE FAN 80MM P8 MAX/ACFAN00286A ARCTIC;5.79€
DP-FLED3-RF120-FS;Deepcool | Case Fan | RF-120 FS | Case fan;5.99€
EY4A017;ENDORFY Zephyr 120 ventiliatorius;6.19€
ACFAN00187A;CASE FAN 120MM/ACFAN00187A ARCTIC;6.29€
XF063;XILENCE Performance A+ Fan 120mm LED ARGB M/B sync;6.39€
XF064;XILENCE Performance A+ Fan 120mm White ARGB M/B sync;6.79€
ACFAN00280A;CASE FAN 120MM P12 MAX/ACFAN00280A ARCTIC;6.99€
FANCASE3;GEMBIRD FANCASE3 Fan for PC 120mm 120mm 25mm;7.19€
ACFAN00293A;CASE FAN 120MM P12 MAX/ACFAN00293A ARCTIC;7.19€
ACFAN00125A;CASE FAN 140MM/ACFAN00125A ARCTIC;7.59€
XF082;XILENCE Performance X Fan 120mm FDB embossed Logo;8.29€
EY4A007;Fan Stratus 120 PWM (EY4A007);8.49€
FANCASE;GEMBIRD FANCASE PC case fan 80x80x25mm 3pin;8.59€
ACFAN00197A;CASE FAN 140MM/ACFAN00197A ARCTIC;8.59€
FANCASE2;GEMBIRD FANCASE2 PC case fan 90x90x25mm 3pin;8.79€
BL044;BE QUIET BL044 Pure Wings 2 80mm fan 18 2 dBA;8.79€
EY4A002;ENDORFY Korpuso VENTILATORIUS FLUCTUS 120 PWM ARGB;8.89€
EY4A001;VENTILATORIUS ENDORFY FLUCTUS 120 PWM;8.90€
D40BM-12A;GEMBIRD D40BM-12A 40x40x10mm DC fan sleeve bearing 3-pin 12V;9.19€
BL037;BE QUIET BL037 Pure Wings 2 80mm fan 18 2 dBA;9.29€
FANCASE/BALL;GEMBIRD FANCASE/BALL Fan for PC case ball bearing;9.49€
ACFAN00126A;CASE FAN 140MM/ACFAN00126A ARCTIC;9.49€
VENTO120ARGBPWM-BKCWW;CASE FAN 120MM ARGB/VENTO120ARGBPWM-BKCWW ADATA;9.59€
R-FK120-BKNPF1-G-1;Deepcool | 120mm fan | FK120 | Black | N/A | Hydraulic​;10.19€
AEROPGSCOSMO-12FRGB;AEROCOOL PGS COSMO 12 FRGB 120mm - FAN;10.59€
AEROPGS-SPECTRO-FRGB;AEROCOOL PGS SPECTRO 12 FRGB 120mm - FAN;10.59€
SAVGBLAST;Blast fan SAVIO;10.59€
BL110;BE QUIET PURE WINGS 3 White 120mm PWM Fan;11.19€
BL111;BE QUIET PURE WINGS 3 White 120mm PWM high-speed Fan;11.19€
VENTOR120ARGBPWM-BKCWW;CASE FAN 120MM ARGB/VENTOR120ARGBPWM-BKCWW ADATA;11.19€
FANCASE3/BALL;GEMBIRD FANCASE3/BALL Fan for PC case ball bearing 120mm 120mm 25mm;11.49€
BL038;BE QUIET BL038 Pure Wings 2 92mm PWM fan 18 6 dBA;11.69€
AEROPGSSATURN-12F-AR;AEROCOOL PGS SATURN 12F ARGB 6P 120mm - FAN;11.69€
KRX0067;KRUX LUNAR 120 ARGB;11.69€
BL105;BE QUIET PURE WINGS 3 120mm PWM Fan;11.79€
BL106;BE QUIET PURE WINGS 3 120mm PWM high-speed Fan;11.79€
BL104;BE QUIET PURE WINGS 3 120mm Fan;11.79€
VENTOR120ARGBPWM-WHCWW;CASE FAN 120MM ARGB/VENTOR120ARGBPWM-WHCWW ADATA;11.79€
AEROPGSDUO12ARGB-6P;AEROCOOL PGS DUO 12 ARGB 6pin 120mm - FAN;11.99€
BL107;BE QUIET PURE WINGS 3 140mm Fan;12.19€
BL108;BE QUIET PURE WINGS 3 140mm PWM Fan;12.39€
BL112;BE QUIET PURE WINGS 3 White 140mm PWM Fan;12.39€
BL113;BE QUIET PURE WINGS 3 White 140mm PWM high-speed Fan;12.39€
CO-9050188-WW;RS120 120mm Fan Single Pack;13.19€
NGF-2043;GENESIS Case fan set Oxal 120 3in1;14.19€
CF-VX12HB-RGB;COUGAR VORTEX VX 120 Cooling Fan, PWM, HDB, ARGB, single pack;14.39€
AEROPGSDUO14ARGB-6P;AEROCOOL PGS DUO 14 ARGB 6pin 140mm - FAN;14.79€
FD-F-AS1-1209;Fractal Design | Aspect 12 RGB PWM | White Frame | N/A;14.89€
NF-R8 REDUX-1800;Noctua NF-R8 redux-1800 Kompiuterio korpusui Ventiliatorius 8 cm Juoda, Pilka;15.00€
NF-B9 REDUX-1600 PWM;Noctua NF-B9 redux-1600 PWM Kompiuterio korpusui Ventiliatorius 9,2 cm Juoda, Pilka;15.00€
NF-R8 REDUX-1800 PWM;Noctua NF-R8 redux-1800 PWM Kompiuterio korpusui Ventiliatorius 8 cm Juoda, Pilka;15.00€
CL-F017-PL12RE-A;Case fan - Luna 12 LED Red (120mm, 1200 RPM) BOX;15.19€
BL085;BE QUIET BL085 Shadow Wings 2 120mm PWM fan;15.29€
50714;QOLTEC 50714 ForceFan 6000 RPM fan 120mm 12V;15.49€
CL-F109-PL12RE-A;Thermaltake Pure A12 Kompiuterio korpusui Ventiliatorius 12 cm Juoda 1 vnt;15.79€
NF-P12 REDUX-900;Noctua NF-P12 kompiuterio aušinimo komponentas Kompiuterio korpusui;15.99€
NF-S12B REDUX1200PWM;Noctua NF-S12B Redux 1200 PWM Kompiuterio korpusui Aušintuvas 12 cm;15.99€
NF-P12 REDUX-1300PWM;NOCTUA REDUX 120MM NF-P12 REDUX-1300 PWM kompiuterio ventiliatorius;16.59€
DP-FRGB-RF120-1C;DEEPCOOL DP-FRGB-RF120-1C Deepcool Cooling Fan RF 120;16.69€
FD-F-AS1-1409;Fractal Design | White Frame | N/A;16.89€
CL-F038-PL12BU-A;THERMALTAKE Riing 12 BLUE LED fan high-static pressure;17.00€
CL-F021-PL14BU-A;Case fan - Luna 14 LED Blue (140mm, 1000 RPM) BOX;17.00€
CL-F110-PL14BU-A;Thermaltake Pure A14 Kompiuterio korpusui Ventiliatorius 14 cm Juoda 1 vnt;17.00€
CL-F110-PL14RE-A;Fan Pure A14 LED Red;17.00€
FD-FAN-PRI-AL12-PWM;FRACTAL DESIGN Prisma AL-12 ARGB PWM;17.19€
MFL-B4DW-16NP2-R2;CASE FAN 140MM/B4DW-16NP2-R2 COOLER MASTER;17.19€
CL-F038-PL12RE-A;THERMALTAKE Riing 12 RED LED fan high-static pressure;17.39€
SAVGCOFROSTX2;CPU cooler SAVIO FROST X2;17.59€
BL120;BE QUIET LIGHT WINGS LX 120mm PWM;17.59€
NF-A4X10 PWM;Noctua NF A4x10 PWM Kompiuterio korpusui Ventiliatorius 4 cm Rusvai gelsvas, Raudona;17.69€
VK-FANV12FB;Valkyrie VK-FANV12FB Kompiuterio aušinimo sistema Kompiuterio korpusui Ventiliatorius;17.79€
NF-A4X10 5V PWM;Noctua NF A4x10 5V PWM Kompiuterio korpusui Ventiliatorius 4 cm Ruda;17.99€
NF-A4X10 5V;Noctua NF-A4x10 5V Kompiuterio korpusui Ventiliatorius 4 cm Rusvai gelsvas, Ruda;17.99€
CF-APR12HB-RGB;COUGAR APOLAR 120 ARGB ELITE Universal Modular Fan (single pack), Black;18.19€
BL126;BE QUIET LIGHT WINGS LX 140mm PWM;18.19€
CO-9050180-WW;RS120 ARGB 120mm Fan Single Pack;18.29€
BL087;BE QUIET BL087 Shadow Wings 2 140mm PWM fan;18.39€
NF-A4X20 FLX;Noctua NF-A4x20 FLX Kompiuterio korpusui Ventiliatorius 4 cm Rusvai gelsvas, Ruda;18.39€
NF-A4X10 FLX;Noctua NOC-NF-A4X10-FLX kompiuterio aušinimo komponentas Kompiuterio korpusui Ventiliatorius 4 cm Rusvai gelsvas, Ruda 1 vnt;18.39€
BL129;BE QUIET LIGHT WINGS LX 140mm PWM high-speed;18.39€
BL123;BE QUIET LIGHT WINGS LX 120mm PWM high-speed;18.39€
CL-F015-PL20BL-A;THERMALTAKE Pure 20 200mm/800rpm;18.59€
NF-P14S REDUX1500PWM;Noctua NF-P14S REDUX-1500 PWM Kompiuterio aušinimo sistema Kompiuterio korpusui Ventiliatorius 14 cm Pilka;18.59€
NF-A6X25 FLX;Noctua NF-A6X25 FLX Kompiuterio aušinimo sistema Kompiuterio korpusui Ventiliatorius 6 cm Ruda;18.99€
NF-P14R REDUX1500PWM;NOCTUA REDUX 140MM PWM kompiuterio korpuso ventiliatorius, 120MM tvirtinimas;18.99€
SAVGCOFROSTBLACKX2;CPU Cooler SAVIO FROST BLACK X2;19.19€
FD-FAN-DYN-X2-GP12-PWM-BK;FRACTAL DESINGN Dynamic X2 GP-12 PWM Black;19.49€
CF-APR12HW-RGB;COUGAR APOLAR 120 ARGB ELITE Universal Modular Fan (single pack), White;19.69€
VK-FANV12FW;Valkyrie VK-FANV12FW Kompiuterio aušinimo sistema Kompiuterio korpusui Ventiliatorius Balta;19.79€
FD-F-AS1-1203;FRACTAL DESIGN Aspect 12 PWM Black;19.89€
CL-F039-PL14BU-A;THERMALTAKE Riing 14 BLUE LED high performance casefan 140x140x25mm Green LED Noise 22.1 dBA with LNC;20.29€
FD-FAN-DYN-X2-GP14-BK;FRACTAL DESIGN Dynamic X2 GP-14 Black;20.59€
FD-FAN-DYN-X2-GP14-WT;FRACTAL DESIGN Dynamic X2 GP-14 White;20.79€
NF-A8 FLX;Noctua NOC-NF-A8-FLX kompiuterio aušinimo komponentas Kompiuterio korpusui Ventiliatorius 8 cm Rusvai gelsvas, Ruda 1 vnt;20.89€
FD-F-AS1-1408;FRACTAL DESIGN Aspect 14 RGB White Frame;21.19€
NA-FK1;Papildomas kompiuterio ventiliatorius NOCTUA NA-FK1, 1700 PWM, 120 mm;21.19€
FD-FAN-DYN-X2-GP14-PWM-BK;FRACTAL DESIGN Dynamic X2 GP-14 PWM Black;21.29€
CL-F016-PL20BU-A;THERMALTAKE Pure 20 BLUE LED 200mm/800rpm;21.69€
CL-F117-PL12BL-A;Thermaltake TOUGHFAN 12;21.79€
NF-A9 FLX;Noctua NF-A9 FLX Kompiuterio aušinimo sistema Kompiuterio korpusui Ventiliatorius 9,2 cm Rusvai gelsvas, Ruda;22.29€
CL-F042-PL12SW-A;THERMALTAKE Riing 12 LED RGB high performance casefan 120x120x25mm RGB LED Noise 18.7 dBA with LNC;23.90€
SAVGBLASTFANSET;BLAST Fan SET 3 x 120mm SAVIO;24.19€
BL094;BE QUIET BL094 SilentWings 4 120mm PWM high-speed;24.39€
BL092;BE QUIET BL092 SilentWings 4 120mm;24.39€
BL093;BE QUIET BL093 SilentWings 4 120mm PWM;24.39€
ACFAN00137A;Arctic P12 PWM PST Case fan 5vnt;24.79€
AC-023-AN1NAN-A1;Commander F P - 10 Port HUB PWM Fans;24.89€
RF-R14SF-B1;NZXT F140 RGB (Atidaryta pakuotė, naujas) Kompiuterio korpusui Ventiliatorius 14 cm Juoda 1 vnt (RGB LED veikia tik su NZXT RGB & Fan Controller (2022));25.41€
BL096;BE QUIET BL096 SilentWings 4 140mm PWM;26.19€
CO-9050143-WW;CORSAIR AF ELITE Series AF140 ELITE WHITE 140mm Fluid Dynamic Fan with AirGuide Single Pack;26.59€
BL072;BE QUIET LIGHT WINGS 120mm PWM;26.69€
NF-S12A FLX;Noctua NF-S12A FLX Kompiuterio korpusui Ventiliatorius 12 cm Rusvai gelsvas, Ruda;26.69€
NF-A9PWMCH.BK.S;Noctua NF-A9 PWM CH.BK.S kompiuterio aušinimo komponentas Kompiuterio korpusui Ventiliatorius 9,2 cm Juoda;26.69€
CL-F139-PL12BL-A;Thermaltake TOUGHFAN 12 Pro;26.79€
G99.12SL1W1B.00;CASE FAN 120MM/G99.12SL1W1B.00 LIAN LI;27.19€
G99.12SL1W1W.00;CASE FAN 120MM/G99.12SL1W1W.00 LIAN LI;27.19€
G99.12RSL1W1W.00;CASE FAN 120MM/G99.12RSL1W1W.00 LIAN LI;27.19€
NF-S12A PWM;Noctua NF-S12A PWM kompiuterio aušinimo komponentas Kompiuterio korpusui Ventiliatorius 12 cm Ruda;27.29€
VK-FANX12FB;Valkyrie X12 ARGB ventiliatorius VK-FANX12FB;27.49€
VK-FANX12FW;Valkyrie X12 ARGB White VK-FANX12FW ventiliatorius;27.49€
KRX0068;KRUX LUNAR 120 ARGB 3X120KIT;27.99€
BL074;BE QUIET LIGHT WINGS 140mm PWM;28.19€
NF-A14 ULN;Noctua NOC-NF-A14-ULN kompiuterio aušinimo komponentas Kompiuterio korpusui Ventiliatorius 14 cm Rusvai gelsvas, Ruda 1 vnt;28.59€
CL-F140-PL14BL-A;Thermaltake TOUGHFAN 14 Pro;28.69€
NF-A14 FLX;Noctua NOC-NF-A14-FLX kompiuterio aušinimo komponentas Kompiuterio korpusui Ventiliatorius 14 cm Rusvai gelsvas, Ruda;28.79€
BL097;BE QUIET BL097 SilentWings 4 140mm PWM high-speed;29.19€
NF-A14 PWM;Noctua NF-A14 PWM Kompiuterio korpusui Ventiliatorius 14 cm Ruda;29.59€
