Model;Name;Price
NPT-1580;NATEC thermal grease Husky 0.5g;0.59€
TG-G1.5-01;GEMBIRD TG-G1.5-01 Heatsink Thermal Paste Grease 1.5g;1.19€
TG-P-01;GEMBIRD TG-P-01 Heatsink silicone thermal pad 100x100x1mm;1.49€
TG-G3.0-01;GEMBIRD TG-G3.0-01 Heatsink Thermal Paste Grease 3g;1.79€
DP-TIM-Z3-2;Deepcool | Thermal paste Z3 1.5g | Silver | universal;2.19€
NTG-1582;NATEC Genesis thermal grease Silicon 701 0.5g;2.19€
NPT-1581;NATEC thermal grease Husky pack 1g 10pcs;2.59€
DP-TIM-Z5-2;Deepcool | Thermal grase Z5 | universal;2.69€
TG-G15-02;GEMBIRD TG-G15-02 Heatsink silicone thermal paste grease. 15g;2.69€
ACTCP00079A;CPU COOLER ACC THERMAL PASTE/ACTCP00079A ARCTIC;3.69€
TG-MP8-30-30-05-1R;Thermal Grizzly | Minus Pad 8 - 30 x 30 x 0.5 mm | N/A | Temperature range: -100°C / +250°C;3.99€
ACTCP00002B;CPU COOLER ACC THERMAL PASTE/ACTCP00002B ARCTIC;4.19€
TG-01 10G;Šilumai laidži pasta SAVIO TG-01 4,7 W/mK 10 g;4.39€
ACTCP00031B;CPU COOLER ACC THERMAL PASTE/ACTCP00031B ARCTIC;4.59€
TG-01 4G;Šilumai laidži pasta SAVIO TG-01 4,7 W/mK 4 g;4.59€
TG-MP8-30-30-10-1R;Thermal Grizzly | Minus Pad 8 - 30 x 30 x 1.0 mm | N/A | Temperature range: -100°C / +250°C;4.69€
R-EX750-GY030C-G-1;Deepcool | EX750 thermal paste 3g;5.19€
ACTCP00080A;CPU COOLER ACC THERMAL PASTE/ACTCP00080A ARCTIC;5.49€
TG-02 2G;Šilumai laidži pasta SAVIO TG-02 8,5 W/mK 2 g;5.69€
R-DM9-GY015C-G;Deepcool | Thermal paste 1.5g | DM9 | Gray | N/A;5.69€
TG-MP8-30-30-15-1R;Thermal Grizzly | Minus Pad 8 - 30 x 30 x 1.5 mm | N/A | Temperature range: -100°C / +250°C;5.89€
ACTCP00008B;CPU COOLER ACC THERMAL PASTE/ACTCP00008B ARCTIC;5.89€
ACTCP00059A;CPU COOLER ACC THERMAL PASTE/ACTCP00059A ARCTIC;6.39€
EY0C003;ENDORFY Pactum 4 termopasta Šiluminė pasta 12 W/m·K 1,5 g;6.39€
BZ004;BE QUIET DC2 Thermal Grease;6.59€
TG-MP8-30-30-20-1R;Thermal Grizzly | Minus Pad 8 - 30 x 30 x 2.0 mm | N/A | Temperature range: -100°C / +250°C;7.19€
ACTCP00084A;CPU COOLER ACC THERMAL PASTE/ACTCP00084A ARCTIC;7.29€
