Model;Name;Price
SC-USB-01;GEMBIRD USB sound card Virtus;2.59€
SC-USB2.0-01;GEMBIRD SC-USB2.0-01 Premium USB sound card Virtus Plus;4.69€
UA0053;LOGILINK Card sound USB UA0053;5.29€
ADA-12;AXAGON | ADA-12 USB - Cable Audio Adapter;5.89€
UKD-1085;External soundcard virtual 5.1 USB;6.49€
UA0078;Logilink | USB Audio adapter, 7.1 sound effect;6.59€
ADA-10;AXAGON | ADA-10 USB - Mini Audio Adapter;6.79€
KOM0638;Sound Card QUER 3D Plug&Play 2 channels;7.00€
AK-01;Savio AK-01 garso plokštė 7.1 kanalai USB;7.19€
SAVIO AK-08;Sound card 7in1 AK-08;7.19€
MT5101;MEDIATECH MT5101 VIRTU 5.1 USB, is the perfect 3D Surround sound card for PCs and laptops,;8.19€
CRE-DAC;AXAGON Mobile USB 3.2 Gen 1 MINI card reader with USB-C and USB-A connectors | CRE-DAC;10.19€
IB-AC527;ICYBOX IB-AC527 IcyBox USB to microphone and headphone adapter;10.69€
ADA-HC;AXAGON | ADA-HC USB-C - HI-RES DAC Audio Adapter;10.79€
42926;I/O CONVERTER USB TO AUDIO/42926 LINDY;12.69€
Y-247A;UNITEK Y-247A USB Sound Card Y-247A;12.99€
ADA-HCPD;AXAGON | ADA-HCPD USB-C - Hi-Res DAC Audio Adapter PD, 60W;13.29€
42711;I/O CONVERTER USB-C TO AUDIO/42711 LINDY;13.99€
BT0061;Bluetooth 5.1 audio transmiter;16.29€
AK-300400-002-S;DIGITUS AK-300400-002-S Cable USB 3.1 Type C Gen.2 SuperSpeed+ 10Gbps Mini Jack 3.5mm + Type USB C black;16.49€
70SB173000000;Creative Labs Sound Blaster PLAY! 3 2.0 kanalai USB;18.99€
70SB186000000;Creative SB Play4;33.89€
70SB171000000;Creative Labs Sound BlasterX G1 7.1 kanalai USB;34.39€
90YA00T0-M0UA00;Asus | Xonar SE;42.99€
70SB187000000;Sound card Sound Blaster Audigy FX V2;50.29€
70SB155000001;SOUND CARD PCIE 7.1 SB AUDIGY/RX 70SB155000001 CREATIVE;65.99€
70ZZ009000003;Sound Blaster X1 externa l soundcard;67.69€
70SB181500000;Karta dźwiękowa Sound Blaster X4 zew;131.19€
70SB174000003;Creative Labs Sound BlasterX AE-5 Plus Vidinis 5.1 kanalai PCI-E;132.89€
