Model;Name;Price
MF-321;GEMBIRD MF-321 metal mounting frame for 2.5inch HDD/SSD to 3.5 bay;0.89€
AD0010;LOGILINK AD0010 - Harddisk Mounting Set 2.5 -> 3.5;2.19€
RHD-225;"AXAGON Metal frame for mounting two 2.5"" disks in a 3.5"" position | RHD-225";3.39€
RHD-125B;"AXAGON Metal frame for mounting one 2.5"" disk into one 3.5"" position | RHD-125B";3.39€
CLR-M2L3;AXAGON Passive aluminum heatsink for all M.2 SSDs, size 2280, high 3 mm | CLR-M2L3;3.69€
RHD-125S;"AXAGON Metal frame for mounting one 2.5"" disk into one 3.5"" position | RHD-125S";3.79€
CLR-M2L10;AXAGON Passive aluminum heatsink for all M.2 SSDs, size 2280, high 10 mm | CLR-M2L10;4.39€
RHD-435;"AXAGON Metal frame for mounting four 2.5"" disks or two 2.5"" disks and one 3.5"" disk in a 5.25"" position | RHD-435";5.19€
SATA-IDE-2;GEMBIRD SATA-IDE-2 Bi-directional SATA/IDE converter;5.49€
EE18-M2S3PCB-01;Gembird adapter card M.2 (only sata data interface) to mini sata (1.8'');5.79€
PEX-M2-01;GEMBIRD PEX-M2-01 M.2 SSD adapter PCI-Express add-on card with extra low-profile bracket;6.19€
52268-1865130;SATA adapter SSD HDD 2.5 drive, USB 3.0, 2TB;6.59€
AUS3-03;"I/O ADAPTER USB-C TO SATA2.5""/AUS3-03 GEMBIRD";7.19€
52269;SATA adapter SSD HDD 2.5 drive, USB C, 2TB;7.19€
PCEM2-N;AXAGON The PCI-Express x4 internal adapter for connecting an NVMe M.2 SSD disk to a computer | PCEM2-N;7.59€
RHD-P25;AXAGON RHD-P25 metal frame 2x 2.5 to 3.5/PCI;7.59€
AUS3-02;GEMBIRD AUS3-02 USB 3.0 to SATA 2.5 drive adapter GoFlex compatible;8.39€
IB-PCI208;Icy Box IB-PCI208 PCIe-Card, M.2 PCIe SSD to PCIe 3.0 x4 Host | Raidsonic;8.39€
PCEM2-1U;AXAGON PCEM2-1U PCI-E 3.0 16x - M.2 SSD NVMe, up to 80mm SSD, low profile 1U;8.49€
UA0133B;LOGILINK UA0133B LOGILINK - Box protective to HDD3.5 black;8.89€
UA0133G;LOGILINK UA0133G - Box protective to HDD3.5 green;8.89€
UA0133O;LOGILINK UA0133O - Box protective to HDD3.5 orange;8.89€
