Model;Name;Price
EE2-U3S-3-LG;GEMBIRD EE2-U3S-3-LG USB 3.0 2.5inch HDD enclosure brushed aluminum light-grey;7.99€
DA-71118;DIGITUS 2.5inch SATA HDD Enclosure M.2 or mSATA SATA 3 6Gbit/s write speed up to 520MB/s;9.89€
5101BLACK;HDD ACC CASE/5101 BLACK RIVACASE;11.59€
9101(PU)LIGHTBLUE;HDD ACC CASE/9101 (PU) LIGHT BLUE RIVACASE;14.49€
9102(PU);HDD ACC CASE/BLACK 9102 (PU) RIVACASE;14.99€
IB-200T-C3;ICY BOX IB-200T-C3 External 2.5inch HDD/SSD case SATA USB 3.2 Gen 1;15.79€
DA-71540-2;"Digitus USB 3.0 dual SATA HDD Docking Station 2.5""/3.5""";32.59€
UA0193;LOGILINK UA0193 3.5inch HDD protection cabinet for 10 HDDs;41.19€
DA-71157;Digitus USB M.2 hard disk enclosure, SSD, external, NVMe, 20Gbps, USB 3.2 Gen2x2;46.89€
IB-3810U3;ICY BOX IB-3810U3 External 3.5 HDD 10-bay Case SATA I/II/III USB 3.0 RAID Black;454.00€
