Model;Name;Price
WD5000AZLX;WD Blue 500GB SATA 6Gb/s HDD internal 3.5inch serial ATA 32MB cache 7200RPM RoHS compliant Bulk;57.49€
ST1000DM014;SEAGATE Desktop Barracuda 7200 1TB HDD 7200rpm SATA 3.5inch;58.99€
ST1000VX013;SEAGATE Surveillance Skyhawk 1TB HDD SATA 6Gb/s 256MB cache 3.5inch;59.19€
ST1000LM048;SEAGATE Barracuda 1TB HDD SATA 6Gb/s 5400rpm 2.5inch 7mm height 128Mb cache BLK;60.89€
WD10EARZ;WD Blue 1TB SATA 3.5inch HDD 6Gb/s;60.99€
WD10EZEX;WD Blue 1TB 7200rpm SATA 6Gb/s 64MB 3.5inch Desktop Bulk;61.19€
HDWD320UZSVA;"TOSHIBA P300|2TB|SATA 3.0|256 MB|7200 rpm|3,5""|HDWD320UZSVA";64.19€
WD20EZBX;WD Blue 2TB SATA 6Gb/s HDD internal 3.5inch serial ATA 256MB cache 7200RPM RoHS compliant Bulk;67.19€
WD20EARZ;WD Blue 2TB SATA 6Gb/s HDD internal 3.5inch serial ATA 256MB cache 5400RPM RoHS compliant Bulk;67.19€
WD10SPZX;WD Blue Mobile 1TB HDD 5400rpm SATA serial ATA 6Gb/s 128MB cache 2.5inch 7mm Heigth RoHS compliant intern Bulk;68.49€
ST2000DM008;SEAGATE Desktop Barracuda 7200 2TB HDD 7200rpm SATA serial ATA 6Gb/s NCQ 256MB cache 89cm 3.5 inch BLK;69.49€
ST2000VX017;SEAGATE Surveillance Skyhawk 2TB HDD SATA 6Gb/s 256MB cache 3.5inch;69.79€
ST1000LM049;Seagate BarraCuda PRO 2.5'' 1TB SATA3 7200RPM 128MB;70.69€
WD5000LPSX;WD Black Mobile 500GB HDD 7200rpm SATA serial ATA 6Gb/s 64MB cache 2.5inch 7mm Heigth RoHS compliant internal Bulk;74.89€
ST1000VN008;SEAGATE NAS HDD 1TB IronWolf 5400rpm 6Gb/s SATA 256MB cache 3.5inch;75.89€
ST2000DMA08;SEAGATE Desktop Barracuda 7200 2TB HDD 7200rpm SATA serial ATA 6Gb/s NCQ 256MB cache 89cm 3.5inch BLK Retail SinglePack;76.19€
WD10SPSX;WD Mobile Black 1TB HDD 7200rpm sATA serial ATA 6Gb/s 64MB cache 2.5Inch RoHS compliant intern Bulk;84.99€
4775342570424;1TB SEAGATE SURVEILLANCE SKYHAWK 3.5“, HDD SATA 1TB 5900RPM SATA 6G;86.19€
ST2000LM015;SEAGATE Barracuda 2TB HDD SATA 6Gb/s 5400rpm 2.5inch 7mm height 128Mb cache BLK;89.69€
ST4000VX016;SEAGATE Surv. Skyhawk 4TB HDD CMR 5400rpm SATA serial ATA 6Gb/s 256MB cache 3.5inch 24x7 workloads BLK;95.19€
4775342570431;2TB SEAGATE SURVEILLANCE SKYHAWK 3.5“, HDD SATA 2TB 5900RPM SATA 6G;96.29€
MG04ACA100N;TOSHIBA Enterprise HDD 1000GB 3.5i SATA 6Gbit/s 7200rpm 512n MG04ACA100N;97.79€
ST3000VX015;SEAGATE Surveillance Skyhawk 3TB HDD SATA 6Gb/s 256MB cache 3.5inch +Rescue;99.69€
WD1005FBYZ;Server HDD WD Gold3.5'' 1TB SATA3 7200RPM 128MB;100.39€
1W10001;WESTERN DIGITAL Ultrastar DC HA210 3.5inch 26.1MM 1000GB 128MB 7200RPM SATA ULTRA 512N SE;100.39€
ST3000DM007;SEAGATE Desktop Barracuda 5400 3TB HDD 5400rpm SATA serial ATA 6Gb/s NCQ 256MB cache 89cm 3.5 inch BLK;103.99€
WD20EFPX;WD Red Plus 2TB SATA 6Gb/s 3.5inch Rpm5400 64MB cache Internal HDD Bulk;104.19€
WD33PURZ;WD Purple 3TB SATA HDD 3.5inch internal 256MB Cache;106.29€
WD43PURZ;WD Purple 4TB SATA HDD 3.5inch internal 256MB Cache;109.49€
ST4000DM004;SEAGATE Desktop Barracuda 5400 4TB HDD 5400rpm SATA serial ATA 6Gb/s NCQ 256MB cache 89cm 3.5inch BLK;110.49€
WD40EZAX;HDD WD Blue 4TB 3,5 256MB 5400RPM CMR;111.19€
