Model;Name;Price
MF-95-02;GEMBIRD MF-95-02 Mounting frame for SATA 25 drive to 5.25 bay 12mm;3.49€
EE2-U2S-5;GEMBIRD EE2-U2S-5 HDD/SSD enclosure for 2.5 SATA - USB 2.0 Aluminium Black;4.19€
AU0011A;Logilink | AU0011 | USB | SATA;4.39€
IF-35-25;LANBERG IF-35-25 Metal Mounting frame for 3.5inch to 2.5inch SSD/HDD;4.69€
A-USATA-01;GEMBIRD A-USATA-01 External USB to SATA adapter for slim SATA SSD/DVD;5.19€
SAVAK-73;External HDD/SDD AK-73 SAVIO;6.99€
EE2-U3S-2;GEMBIRD EE2-U3S-2 HDD/SSD enclosure for 2.5 SATA - USB 3.0 Aluminium Black;7.19€
ADSA-1S;"AXAGON ADSA-1S USB2.0 - SATA HDD External Adapter Incl. 2.5"" Case";7.19€
EE25-SL;"AXAGON Screwless USB 3.2 Gen 1 - SATA 6G external box for 2.5"" SSD/HDD";7.39€
52276;Enclosure for SSD HDD 2.5,SATA,USB 3.0,2TB;7.49€
52277;Enclosure for SSD HDD 2.5drive,SATA,USB3.0,2T;7.49€
52278;Enclosure for SSD HDD 2.5drive,SATA,USB3.0,2T;7.49€
52279;Enclosure for SSD HDD 2.5drive,SATA,USB3.0,2T;7.49€
EE2-U3S-2-R;GEMBIRD EE2-U3S-2-R HDD/SSD enclosure for 2.5 SATA - USB 3.0 Aluminium Red;7.59€
EE2-U3S-2-S;GEMBIRD EE2-U3S-2-S HDD/SSD enclosure for 2.5 SATA - USB 3.0 Aluminium Silver;7.59€
88884113;HDD Case Argus HD-25620, USB 3.0;7.79€
EE25-A6M;"AXAGON Screwless aluminum USB 3.2 Gen 1 - SATA 6G external box for 2.5"" SSD/HDD";7.79€
EE2-U3S-3;GEMBIRD EE2-U3S-3 HDD/SSD enclosure for 2.5inch SATA - USB 3.0 brushed aluminium Black;7.89€
EE2-U3S9-6;GEMBIRD EE2-U3S9-6 HDD/SSD enclosure for 2.5 SATA - USB 3.0 9.5mm transparent plastic;7.99€
EE2-U3S-3-B;GEMBIRD EE2-U3S-3-B USB 3.0 2.5inch HDD enclosure brushed aluminum blue;7.99€
EE2-U3S-3-LG;GEMBIRD EE2-U3S-3-LG USB 3.0 2.5inch HDD enclosure brushed aluminum light-grey;7.99€
51871;Hard drive case HDD SSD 2.5inch SATA3,USB3.0;8.29€
EE2-U3S-6;GEMBIRD EE2-U3S-6 HDD/SSD Drive enclosure 2.5inch with USB Type-C port USB 3.1 brushed aluminum black;8.39€
EE2-U3S-6-GR;GEMBIRD EE2-U3S-6-GR HDD/SSD Drive enclosure 2.5inch with USB Type-C port USB 3.1 brushed aluminum grey;8.39€
51855;QOLTEC 51855 USB 3.0 SATA adapter for HDD SSD 2.5inch;8.49€
EE2-U3S-3-DB;GEMBIRD EE2-U3S-3-DB USB 3.0 2.5inch HDD enclosure brushed aluminum deep-blue;8.59€
EE2-U3S-3-GL;GEMBIRD EE2-U3S-3-GL USB 3.0 2.5inch HDD enclosure brushed aluminum gold;8.59€
GD-25000;HDD Case Argus GD-25000, USB 3.0, transparent;8.69€
