Model,Name,Price
CC-SATAM-DATA-0.3M,GEMBIRD CC-SATAM-DATA-0.3M Serial ATA III 30cm Data Cable metal clips red,0.49€
CC-SATAM-DATA90-0.3M,GEMBIRD CC-SATAM-DATA90-0.3M Serial ATA III 30 cm Data Cable with 90 degree bent metal clips red,0.49€
CC-SATAM-DATA-0.1M,GEMBIRD CC-SATAM-DATA-0.1M Serial ATA III 10cm Data Cable metal clips red,0.49€
CC-SATA-PS,GEMBIRD CC-SATA-PS Serial ATA 15 cm power cable,0.59€
CC-SATAM-DATA,GEMBIRD CC-SATAM-DATA Serial ATA III 50 cm Data Cable metal clips red,0.59€
CC-SATAM-DATA90,GEMBIRD CC-SATAM-DATA90 Serial ATA III 50 cm Data Cable with 90 degree bent metal clips red,0.59€
CC-SATAMF-01,GEMBIRD CC-SATAMF-01 extention cable power SATA 15pin M/F 30 cm,0.69€
CC-SATA-C1,GEMBIRD CC-SATA-C1 Serial ATA III data and power combo cable,0.79€
CC-SATA-PS-M,GEMBIRD CC-SATA-PS-M SATA male to Molex female power cable 15cm,0.79€
CC-SATAM-DATA-XL,GEMBIRD CC-SATAM-DATA-XL Serial ATA III 100 cm Data Cable metal clips red,0.79€
CC-SATA-PSY,GEMBIRD CC-SATA-PSY 2 Serial ATA 15 cm power cable,0.89€
CC-SATA-PSY-0.3M,GEMBIRD CC-SATA-PSY-0.3M 2x Serial ATA 30 cm power cable,0.99€
CC-SATAM2F-02,GEMBIRD CC-SATAM2F-02 cable power SATA 15 pin -> 2x SATA HDD angled connectors,1.19€
CC-SATAM2F-01,GEMBIRD CC-SATAM2F-01 cable power splitter SATA 15 pin -> 2x SATA HDD - straight,3.99€
A-USATA-01,GEMBIRD A-USATA-01 External USB to SATA adapter for slim SATA SSD/DVD,5.19€
SATA-IDE-2,GEMBIRD SATA-IDE-2 Bi-directional SATA/IDE converter,5.49€
AUS3-03,"I/O ADAPTER USB-C TO SATA2.5""/AUS3-03 GEMBIRD",7.19€
AUS3-02,GEMBIRD AUS3-02 USB 3.0 to SATA 2.5 drive adapter GoFlex compatible,8.39€
AUSI01,GEMBIRD AUSI01 USB to IDE 2.5/3.5inch and SATA adapter,11.19€
P06307-B21,HPE ML30 Gen10 Mini SAS Cable Kit,43.89€
33323,CABLE SATA 7 PIN INTERNAL/0.2M 33323 LINDY,1.39€
33351,CABLE SATA 7 PIN TO 7PIN 90DEG/0.5M 33351 LINDY,1.39€
33350,CABLE SATA 7 PIN TO 7PIN 90DEG/0.2M 33350 LINDY,1.49€
33449,CABLE SATA INTERNAL/0.2M 33449 LINDY,2.29€
33450,CABLE SATA INTERNAL/0.5M 33450 LINDY,2.59€
MT5100,MEDIATECH MT5100 SATA/IDE TO USB 3.0 CONNECTION KIT,30.19€
