Model;Name;Price
SP128GBSS3A55S25;Silicon Power SSD Ace A55 128GB 2.5'', SATA III 6GB/s, 550/420 MB/s, 3D NAND;12.29€
PBE120GS25SSDR;PATRIOT Burst Elite 120GB SATA 3 2.5inch SSD;12.69€
P210S128G25;PATRIOT P210 128GB SATA3 2.5inch SSD;13.49€
P220S128G25;PATRIOT P220 128GB SATA3 2.5inch SSD;13.69€
P300P128GM28;PATRIOT P300 128GB M.2 2280 PCIe SSD;16.19€
SSD-C800AS120G;"SSD|DAHUA|DHI-SSD-C800A|120GB|SATA 3.0|TLC|Write speed 460 MBytes/sec|Read speed 550 MBytes/sec|2,5""|MTBF 1500000 hours|SSD-C800AS120G";16.49€
SSD-C800AS128G;"SSD|DAHUA|DHI-SSD-C800A|128GB|SATA 3.0|TLC|Write speed 460 MBytes/sec|Read speed 550 MBytes/sec|2,5""|MTBF 1500000 hours|SSD-C800AS128G";16.59€
P320P128GM28;PATRIOT P320 128GB M.2 2280 PCIE SSD;17.19€
SP240GBSS3S55S25;Silicon Power SSD Slim S55 240GB 2.5'', SATA III 6GB/s, 550/450 MB/s, 7mm;17.49€
SP240GBSS3S56B25;Silicon Power SSD Slim S56 240GB 2.5'', SATA III 6GB/s, 3D TLC NAND, 7mm;18.19€
CT240BX500SSD1;Crucial BX500 SSD , 2.5'', 240GB, SATA/600, 3D NAND;18.59€
SSDPR-CX400-256-G2;GOODRAM CX400 GEN.2 SSD 256GB SATA3 2.5inch 550/480MB/s;18.99€
SP256GBSS3A55M28;Silicon Power SSD A55 256GB, M.2 SATA, 550/450 MB/s;19.19€
P210S256G25;PATRIOT P210 SSD 256GB SATA 3 Internal Solid State Drive 2.5inch;19.19€
PBE240GS25SSDR;PATRIOT Burst Elite 240GB SATA 3 2.5Inch SSD;19.19€
S78-440N070-P83;"SSD|MSI|SPATIUM S270|240GB|SATA|3D NAND|Write speed 400 MBytes/sec|Read speed 500 MBytes/sec|2,5""|TBW 250 TB|MTBF 2000000 hours|S78-440N070-P83";19.19€
GP-GSTFS31240GNTD;GIGABYTE INTERNAL 2.5'' SSD 240GB, SATA 6.0Gb/s, R/W 500/420;19.39€
LNQ100X240G-RNNNG;Lexar | SSD | NQ100 | 240 GB | SSD form factor 2.5 | Solid-state drive interface SATA III | Read speed 550 MB/s | Write speed 445 MB/s;19.59€
P220S256G25;PATRIOT P220 256GB SATA3 2.5inch SSD;19.69€
GP-GSTFS31256GTND;GIGABYTE INTERNAL 2.5'' SSD 256GB, SATA 6.0Gb/s, R/W 520/500;20.29€
LNS100-256RB;"Lexar | NS100 | 256 GB | SSD form factor 2.5"" | Solid-state drive interface SATA III | Read speed 520 MB/s | Write speed 510 MB/s";20.89€
P310P240GM28;PATRIOT P310 240GB M2 2280 PCIe SSD NVME;21.19€
SP256GBP34A60M28;Silicon Power SSD P34A60 256GB, M.2 PCIe Gen3 x4 NVMe, 2200/1600 MB/s;21.39€
LNM620X256G-RNNNG;Lexar | SSD | NM620 | 256 GB | SSD form factor M.2 2280 | Solid-state drive interface PCIe Gen3x4 | Read speed 3000 MB/s | Write speed 1300 MB/s;21.59€
P300P256GM28;PATRIOT P300 256GB M2 2280 PCIe SSD;21.69€
WDS240G3G0A;WD Green SATA 240GB Internal SSD Solid State Drive - SATA 6Gb/s 2.5inch - WDS240G3G0A;22.19€
P320P256GM28;PATRIOT P320 256GB M.2 2280 PCIE SSD;23.29€
5SS0V26464_3M;Western Digital PC SN740 M.2 256 GB PCI Express 4.0 NVMe Po bandymų;23.39€
MZVL4256HBJD-00BL7_3M;Samsung PM9B1 M.2 256 GB PCI Express 4.0 V-NAND NVMe Po bandymų;24.59€
SSD-C800AS240G;"SSD|DAHUA|DHI-SSD-C800A|240GB|SATA 3.0|TLC|Write speed 460 MBytes/sec|Read speed 550 MBytes/sec|2,5""|MTBF 1500000 hours|SSD-C800AS240G";24.89€
SSD-C800AS256G;"SSD|DAHUA|DHI-SSD-C800A|256GB|SATA 3.0|TLC|Write speed 460 MBytes/sec|Read speed 550 MBytes/sec|2,5""|MTBF 1500000 hours|SSD-C800AS256G";24.99€
SA400S37/240G;KINGSTON 240GB SSD A400 SATA3 6Gb/s 6.4cm 2.5inch 7mm height up to 500MB/s Read and 350MB/s Write;27.39€
SSD-C900N256G;SSD|DAHUA|256GB|M.2|PCIe Gen3|NVMe|3D NAND|Write speed 1050 MBytes/sec|Read speed 2000 MBytes/sec|TBW 128 TB|MTBF 1500000 hours|SSD-C900N256G;28.89€
PBE480GS25SSDR;PATRIOT Burst Elite 480GB SATA 3 2.5inch SSD;29.19€
SSDPR-CL100-480-G3;GOODRAM SSD CL100 GEN.3 480GB 2.5inch SATA3 540/460MB/s;29.39€
SSD-E900N256G;SSD|DAHUA|256GB|M.2|PCIe Gen3|NVMe|3D TLC|Write speed 1050 MBytes/sec|Read speed 2000 MBytes/sec|TBW 128 TB|MTBF 1500000 hours|SSD-E900N256G;29.59€
P210S512G25;PATRIOT P210 SSD 512GB SATA 3 Internal Solid State Drive 2.5inch;29.79€
P220S512G25;PATRIOT P220 SATA 3 512GB SSD 550/500MB/s;30.49€
SSDPR-CX400-512-G2;GOODRAM CX400 GEN.2 SSD 512GB SATA3 2.5inch 550/500MB/s;30.59€
SKC600MS/256G;KINGSTON KC600 256GB SATA3 mSATA SSD;30.89€
P310P480GM28;PATRIOT P310 480GB M2 2280 PCIe SSD NVME;31.19€
SKC600/256G;KINGSTON 256GB SSD KC600 SATA3 2.5inch;31.19€
ALEG-710-512GCS;ADATA LEGEND 710 512GB PCIe M.2 SSD;31.79€
P300P512GM28;PATRIOT P300 512GB M2 2280 PCIe SSD;31.89€
SSD-C900VN256G-B;SSD|DAHUA|256GB|M.2|PCIe Gen3|NVMe|3D NAND|Write speed 1200 MBytes/sec|Read speed 3300 MBytes/sec|TBW 128 TB|MTBF 1500000 hours|SSD-C900VN256G-B;31.89€
SP512GBP34A60M28;Silicon Power SSD P34A60 512GB, M.2 PCIe Gen3 x4 NVMe, 2200/1600 MB/s;32.19€
WDS480G3G0A;WD Green SATA 480GB Internal SSD Solid State Drive - SATA 6Gb/s 2.5inch - WDS480G3G0A;32.19€
WDS480G3G0B;WD Green SATA 480GB Internal SSD Solid State Drive - SATA 6Gb/s M.2 2280 - WDS480G3G0B;32.19€
WDS250G3B0A;WD Blue SA510 SSD 250GB SATA III 6Gb/s cased 2.5inch 7mm internal single-packed;32.29€
SSD-C800N256G;SSD|DAHUA|256GB|M.2|SATA|3D NAND|Write speed 510 MBytes/sec|Read speed 530 MBytes/sec|2.2mm|TBW 100 TB|MTBF 1500000 hours|SSD-C800N256G;32.59€
SSD-C900VN256G;SSD|DAHUA|256GB|M.2|PCIe Gen3|NVMe|3D NAND|Write speed 1200 MBytes/sec|Read speed 3300 MBytes/sec|TBW 128 TB|MTBF 1500000 hours|SSD-C900VN256G;32.59€
S78-440K160-P83;MSI SSD drive SPATIUM M371 500GB M.2 PCIe3 2200/1150MB/s;33.19€
ALEG-700-512GCS;ADATA | LEGEND 700 | 512 GB | SSD form factor M.2 2280 | Solid-state drive interface PCIe Gen3x4 | Read speed 2000 MB/s | Write speed 1600 MB/s;33.29€
