Model;Name;Price
MZ-77E250B/EU;SAMSUNG SSD 870 EVO 250GB SATA III 2.5inch 560MB/s read 530MB/s write;46.79€
MZ-77E500B/EU;SAMSUNG SSD 870 EVO 500GB SATA III 2.5inch 560MB/s read 530MB/s write;59.99€
MZ7L3240HCHQ-00A07;SAMSUNG PM893 Data Center SSD 240GB internal 2.5inch SATA 6Gb/s;91.39€
HAT3300-2T;SYNOLOGY HAT3300 2TB SAS 3.5inch HDD;103.79€
161-BCHF;Dell | HDD 2.5“ / 2.4TB / 10k / SAS / 12Gb / 512e / Hot-Plug / 15G | 10000 RPM | 1200 GB;129.49€
4XB7A82286;LENOVO ISG ThinkSystem M.2 5400 PRO 240GB Read Intensive SATA 6Gb NHS SSD;131.99€
MTFDDAK480TGA-1BC1ZABYYR;"SSD SATA2.5"" 480GB 6GB/S/5400 PRO MTFDDAK480TGA MICRON";144.39€
MTFDKBA480TFR-1BC1ZABYYR;Micron 7450 PRO 480GB NVMe M.2 (22x80) Non-SED Enterprise SSD [Single Pack];154.59€
SSDSC2KB480GZ01;"SSD Solidigm (Intel) S4520 480GB SATA 2.5"" SSDSCKKB480GZ01 (DWPD up to 3)";174.29€
345-BDQM;SERVER SSD 960GB SATA RI/3.5'' OEM 345-BDQM DELL;178.29€
345-BDRK?/3;960GB SSD SATA RI 6Gbps 512e 2.5in Hot-Plug, CK;181.29€
MTFDDAK960TGA-1BC1ZABYYR;"SSD SATA2.5"" 960GB 6GB/S/5400 PRO MTFDDAK960TGA MICRON";215.99€
MZQL2960HCJR-00A07;SAMSUNG PM9A3 PCIe4.0x4 2.5inch 960GB;225.79€
MZ7L3960HCJR-00A07;SAMSUNG PM893 Data Center SSD 960GB internal 2.5inch SATA 6Gb/s;229.19€
MTFDKCC960TGP-1BK1DABYYR;SSD|MICRON|SSD series 7500 PRO|960GB|PCIe Gen4|NVMe|NAND flash technology TLC|Write speed 1400 MBytes/sec|Read speed 6800 MBytes/sec|Form Factor U.3|TBW 1752 TB|MTBF 2000000 hours|MTFDKCC960TGP-1BK1DABYYR;229.79€
345-BEBH;SERVER SSD 480GB SATA RI/3.5'' G14-G16 345-BEBH DELL;256.59€
345-BECQ;SERVER SSD 960GB SATA MU/2.5''14GEN OEM 345-BECQ DELL;258.99€
345-BECI?/1;960GB SSD SATA MU 6Gbps 512е 2.5in with 3.5in HYB CARR, Hot-plug, CK;258.99€
4XB7A90874;LENOVO ThinkSystem 2.5inch Multi Vendor 960GB Read Intensive SATA 6Gb HS SSD v2;287.89€
345-BECQ?/1;960GB SSD SATA MU 6Gbps 512е 2.5in Hot-Plug, CK;297.79€
400-BLLE?/1;8ТВ Hard Drive SATA 6Gbps 7.2К 512е 3.5in Hot-Plug, CUS Kit;310.79€
345-BDRK;SERVER SSD 960GB SATA RI/2.5' G14-G16 345-BDRK DELL;314.29€
345-BDOL;SERVER SSD 480GB SATA MIX/USE 3.5'' OEM 345-BDOL DELL;319.39€
345-BEGN;SERVER SSD 960GB SATA RI/3.5'' 14GEN 345-BEGN DELL;320.19€
MTFDKCC1T9TGP-1BK1DABYYR;SSD|MICRON|SSD series 7500 PRO|1.92TB|PCIe Gen4|NVMe|NAND flash technology TLC|Write speed 2700 MBytes/sec|Read speed 6800 MBytes/sec|Form Factor U.3|TBW 3504 TB|MTBF 2000000 hours|MTFDKCC1T9TGP-1BK1DABYYR;360.29€
4XB7A17101;LENOVO ThinkSystem 2.5inch S4520 480GB Read Intensive SATA 6Gb HS SSD;363.99€
