Model,Name,Price
400-BLLI,"SERVER HDD 2TB 7.2K SATA 3.5""/512N G14-15 400-BLLI DELL",128.99€
400-BLLJ,SERVER HDD 1TB 7.2K SATA/3.5''14/15/16GEN 400-BLLJ DELL,148.69€
400-AUST,"SERVER HDD 2TB 7.2K SATA 3.5""/CABLED OEM 400-AUST DELL",159.49€
400-AUPW,"SERVER HDD 1TB 7.2K SATA/3.5"" CABLED 400-AUPW DELL",172.39€
400-AJPP,"SERVER ACC HDD 600GB 10K SAS/2.5"" 13GEN 400-AJPP DELL",177.89€
161-BBRC,"Dell HDD 3.5"" / 2TB / 7.2k / SATA / 6Gb / 512n / Hot-plug / 14G | Dell",183.39€
400-BLLG?/S1,"2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug, CUS Kit",201.79€
400-ATJL,"SERVER HDD 1.2TB 10K SAS ISE/2.5"" 512N G14-16 400-ATJL DELL",202.49€
400-BIFV,"SERVER HDD 600GB 10K SAS 2.5""/15GEN OEM 400-BIFV DELL",218.19€
400-AXTV,SERVER ACC SSD 480GB SATA RI/2.5'' 14GEN 400-AXTV SAM DELL,222.49€
400-BJRR,"SERVER HDD 2TB 7.2K SATA 3.5""/13GEN 400-BJRR DELL",229.89€
345-BDZZ?/3,"480GB SSD SATA Read Intensive 6Gbps 512e 2.5in Hot-Plug, CusKit",230.19€
345-BEBH?2,"480GB SSD SATA Read Intensive 6Gbps 512e 2.5in with 3.5in HYB CARR, CusKit",232.19€
400-BLLF?/S1,"4TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug, CUS Kit",241.59€
400-ATJM,SERVER ACC HDD 1.2TB 10K SAS/3.5'' 14GEN 400-ATJM DELL,242.79€
400-AJPC,"SERVER ACC HDD 1.2TB 10K SAS/3.5"" 13GEN 400-AJPC DELL",248.69€
161-BCPH,"SERVER HDD 4TB 7.2K SAS ISE/3.5"" 512N G14-16 161-BCPH DELL",252.19€
400-AVEZ,"SERVER HDD 2.4TB 10K SAS 2.5""/ISE 14/15GEN OEM 400-AVEZ DELL",255.89€
345-BBDF,"SERVER SSD 480GB SATA RI 2.5""/512E G14-G16 345-BBDF DELL",256.59€
345-BDZZ?/1,"480GB SSD SATA Read Intensive 6Gbps 512e 2.5in Hot-Plug, CusKit",265.49€
345-BEBH?/S1,"480GB SSD SATA Read Intensive 6Gbps 512e 2.5in with 3.5in HYB CARR, CusKit",267.79€
