Model;Name;Price
90AR0000-P00010;ASUS NUC Accessory/LAN & USB ADD-ON ASSEMBLY/EAN:4711387526934;43.19€
90AR00M2-M00080;ASUS RNUC14MNK9700002 Barebone Essential Intel N97 Kit L6 EU cord;185.69€
90AR00M2-M00030;ASUS RNUC14MNK2500002 Barebone Essential Intel N250 Kit L6 EU cord;213.79€
BNUC13BRKP200B02I;COMPUTING KIT N50/BNUC13BRKP200B02I ASUS;284.29€
BNUC13BRFA200B02I;COMPUTING KIT ATOM-X7211E/BNUC13BRFA200B02I ASUS;343.19€
90AR00D1-M00030;ASUS RNUC12WSKI300002I Barebone Intel Core i3-1220P Kit L6 EU cord;346.59€
RNUC12WSKI300002I;COMPUTING KIT CI3-1220P/RNUC12WSKI300002I ASUS;352.69€
RNUC12WSHI300002I;COMPUTING KIT CI3-1220P/RNUC12WSHI300002I ASUS;357.79€
90MR00U2-M000C0;ASUS ExpertCenter PN64-BB3012MD Mini PC Juoda i3-1220P 1,5 GHz;366.69€
90AR00C1-M00040;ASUS RNUC13ANHI300002I Barebone Intel Core i3-1315U Kit L6 EU cord;372.19€
BNUC13BRFA400B00IW;COMPUTING KIT ATOM-X7425E/BNUC13BRFA400B00IW ASUS;373.29€
BNUC13BRFA400B00I;COMPUTING KIT ATOM-X7425E/BNUC13BRFA400B00I ASUS;373.99€
BNUC13BRFA400B02I;COMPUTING KIT ATOM-X7425E/BNUC13BRFA400B02I ASUS;376.59€
90AR0031-M00040;ASUS RNUC13ANKI300002I Barebone Intel Core i3-1315U Kit L6 EU cord;383.39€
RNUC14RVKI300000I;COMPUTING KIT C3-100U/RNUC14RVKI300000I ASUS;408.00€
90AR0072-M00040;ASUS RNUC14RVHI300002I Barebone Intel Core 3 100U Tall Kit L6 EU Cord;409.00€
RNUC14RVKI300002I;COMPUTING KIT C3-100U/RNUC14RVKI300002I ASUS;413.00€
90AR0062-M00040;ASUS RNUC14RVKI300002I Barebone Intel Core 3 100U Slim Kit L6 EU Cord;418.00€
90AR00D1-M00060;ASUS RNUC12WSKI500002I Barebone Intel Core i5-1240P Kit L6 EU cord;456.00€
90AR00E1-M00080;"ASUS NUC 12pro/RNUC12WSHI500002I/Intel Core i5-1240P/Intel Iris Xe Graphics/4xUSB/M.2 22x80 NVMe; 22x42 SATA/2.5'' SATA slot/2,5Gbe LAN/2xHDMI/ 2x Thunderbolt 4 (USB-C+DP)/no Storage/no RAM/AX211.NGWG.NV/no OS/EU Cord/Tall Kit(L6)/EAN:4711387504932";456.00€
RNUC12WSKI500002I;COMPUTING KIT CI5-1240P/RNUC12WSKI500002I ASUS;461.00€
RNUC13L5KI300000I;COMPUTING KIT CI3-1315UE/RNUC13L5KI300000I ASUS;501.00€
90AR0031-M00090;ASUS RNUC13ANKI500002I Barebone Intel Core i5-1340P Kit L6 EU cord;504.00€
90AR00C1-M000B0;ASUS RNUC13ANHI500002I Barebone Intel Core i5-1340P Kit L6 EU cord;514.00€
RNUC13ANKI500002I;COMPUTING KIT CI5-1340P/RNUC13ANKI500002I ASUS;516.00€
90AR0062-M00090;ASUS RNUC14RVKU500002I Barebone Intel Core Ultra 5 125H Slim Kit L6 EU Cord;541.00€
RNUC14RVKU500002I;COMPUTING KIT CU5-125H/RNUC14RVKU500002I ASUS;544.00€
90AR0072-M000P0;ASUS RNUC14RVHU500002I Barebone Intel Core Ultra 5 125H Tall Kit L6 EU Cord;546.00€
RNUC14RVHU500002I;COMPUTING KIT CU5-125H/RNUC14RVHU500002I ASUS;553.00€
RNUC12WSHI700002I;COMPUTING KIT CI7-1260P/RNUC12WSHI700002I ASUS;598.00€
RNUC12WSKI700002I;COMPUTING KIT CI7-1260P/RNUC12WSKI700002I ASUS;599.00€
RNUC14RVSU500002I;COMPUTING KIT CU5-125H/RNUC14RVSU500002I ASUS;607.00€
90AR0031-M000E0;ASUS RNUC13ANKI700002I Barebone Intel Core i7-1360P Kit L6 EU cord;669.00€
90AR00C1-M000K0;ASUS RNUC13ANHI700002I Barebone Intel Core i7-1360P Kit L6 EU cord;684.00€
90AR0062-M000E0;ASUS RNUC14RVKU700002I Barebone Intel Core Ultra 7 155H Slim Kit L6 EU Cord;714.00€
RNUC14RVKU700002I;COMPUTING KIT CU7-155H/RNUC14RVKU700002I ASUS;725.00€
RNUC14RVHU700002I;COMPUTING KIT CU7-155H/RNUC14RVHU700002I ASUS;737.00€
