Model;Name;Price
8RA46AA;HP B250 DM Desktop Mini Thin Client PC Mounting Bracket for ProDisplay P22h, P24h, P24q, P27h, P27q, P34hc G4 (2020), Conferencing M24m, M27m Monitor;5.19€
EO0009;LOGILINK EO0009 - Adjustable under-desk CPU mount with strap;12.89€
575-BCHI;Dell | AC Adapter Sleeve Mount Kit;17.29€
THINCLIENT-01;PC ACC THIN CLIENT MOUNT/10KG THINCLIENT-01 NEOMOUNTS;17.69€
CPU-D025BLACK;PC ACC DESK MOUNT 20KG/CPU-D025BLACK NEOMOUNTS;19.29€
MC-454;Adjustable mini CPU PC holder Maclean MC-454;21.19€
DA-90411;PC Table Mount | DA-90411 | 30-51 cm | Steel | Black;22.19€
NM-TC100BLACK;PC ACC THIN CLIENT MOUNT/5KG NM-TC100BLACK NEOMOUNTS;22.79€
325-BDWY;Dell | Kit OptiPlex SFF Cable Cover | 325-BDWY;23.89€
CPU-M100BLACK;PC ACC DESK MOUNT 10KG/CPU-M100BLACK NEOMOUNTS;24.19€
482-BBET;Dell | OptiPlex Micro and Thin Client Pro 1 E-Series Monitor Mountw/Base Extender | Black;26.19€
FPMA-VESAMAC2127;PC ACC VESA ADPATER /IMAC/FPMA-VESAMAC2127 NEOMOUNTS;30.19€
763U8AA;HP B560 Mounting kit for monitor/mini PC recycled plastic 65 ITE-derived closed loop plastic black VESA 100x100mm;30.19€
RS480;Mobile CPU stand adjustable NanoRS RS480;34.19€
NM-CPU100BLACK;PC ACC DESK MOUNT 10KG/NM-CPU100BLACK NEOMOUNTS;34.49€
CPU-W100BLACK;PC ACC CPU MOUNT/10KG CPU-W100BLACK NEOMOUNTS;36.39€
THINCLIENT-20;PC ACC THIN CLIENT MOUNT/10KG THINCLIENT-20 NEOMOUNTS;36.49€
CPU-D075BLACK;PC ACC DESK MOUNT 10KG/CPU-D075BLACK NEOMOUNTS;39.79€
4XH0N04098;LENOVO ThinkCentre Tiny Sandwich Kit II;40.49€
482-BBEQ;PC ACC VESA MOUNT/482-BBEQ DELL;41.99€
MC-477;Cabinet on wheels 2 shelves Maclean MC-477;44.79€
MC-885;Maclean MC-885 Desk Mount for hanging PC;48.19€
520-BBDQ;Dell | Wireless Audio Receiver | HR024 | Black;49.99€
CPU-D200SILVER;PC ACC DESK MOUNT 30KG/CPU-D200SILVER NEOMOUNTS;50.19€
325-BDWZ;Dell | OptiPlex Tower Cable Cover | Black;51.49€
CPU-D200BLACK;PC ACC DESK MOUNT 30KG/CPU-D200BLACK NEOMOUNTS;55.19€
325-BDOI;Dell | OptiPlex Tower Plus Cable Cover | 325-BDOI | Black;60.99€
CPU-D075BLACK/LK;PC ACC DESK MOUNT 10KG/CPU-D075BLACK/LK NEOMOUNTS;61.19€
RS430;CPU stand with shelf RS430;72.39€
KEYB-V200BLACK;KEYBOARD AND MOUSE SUPPORT/KEYB-V200BLACK NEOMOUNTS;79.39€
482-BBEM;MONITOR ACC STAND CFS22/482-BBEM DELL;95.39€
482-BBEO;"Dell | Desk Mount | Tilt, swivel, height adjustment, pivot | 19-27 "" | Silver";98.29€
DA-90372;ASSMANN DA-90372 Wall Mount LCD+Keyboard;118.39€
482-BBFB;Dell Compact Form Factor All-In-One Stand | CFS25;120.69€
