Model;Name;Price
O11DEXL-1W;LIAN LI O11D EVO XL UPRIGHT GPU BRACKET;15.79€
IT-6521_STRAIGHT;Chassis INTER-TECH IT-6521 Straight, 2x USB 3.2 Gen 1, PSU optional;23.89€
IT-2812_BUSINESS;Chassis INTER-TECH IT-2812 Business, 2x USB 3.0, 2x USB 2.0, PSU optional;26.19€
IT-2815_LINEAR;Chassis INTER-TECH IT-2815 Linear, 2x USB 3.0, Type C, PSU optional;26.19€
IT-6505;Chassis INTER-TECH IT-6505 Reto, 1x USB 3.0, 1x USB 2.0, PSU optional;26.99€
CMT160;Fortron Case | CMT160 | Black | ATX Mid-Tower | Power supply included No;27.19€
UB-03B-OP;CHIEFTEC UB-03B-OP M-ATX Tower Black 2xUSB 3.0 Type C;28.39€
O11DE-3W;LIAN LI I/O KIT O11DE-3W kompiuterio korpuso dalis „Midi Tower“ Priekinis skydelis;28.59€
AK36BK;AKYGA Micro ATX Case AK36BK 1x USB 3.0 black w/o PSU;31.59€
CCC-FORNAX-950B;GEMBIRD CCC-FORNAX-950B Gaming design PC case 3 x 12 cm fans blue;31.89€
AT-J023-10-0000000-0002;CASE LOGIC J23 USB 3.0 X 2 JUODOS SPALVOS;33.69€
FAN-01 WHITE;SAVIO FAN-01 WHITE 4 vnt. 120 mm ARGB ventiliatorių, įskaitant valdiklį ir nuotolinio valdymo pultą;34.69€
NPC-2171;NATEC NPC-2038 kompiuterio korpusas Desktopas Juoda;35.99€
AEROPGSEVO-MINI-G-BK;AEROCOOL PGS EVO MINI-G-BK-v1 RGB - case;39.49€
NFO-2153;FURY SHOBO korpuas SH4 RGB MIDI SU LANGU, JUODAS;40.79€
KRX0016;KRUX Astro Cube kompiuterio korpusas juodas;42.89€
AEROPGSCS-107-A-V2;AEROCOOL PGS CS-107-A-BK-v2 FRGB - PC case;43.19€
OAN39;IBOX Antila 39 PC case;43.19€
CCC-FC-500W;GEMBIRD Gaming ARGB case Fornax 500 white;44.19€
AEROPGSRAIDER-M-G-V3;AEROCOOL PGS RAIDER MINI-G-BK-v3 - case;44.39€
0-761345-92003-2;ANTEC PC korpusas Antec VSK2000 - U3 Micro ATX, Juodas;44.99€
AEROPGSSTREAK-A-BKRG;AEROCOOL AEROPGSSTREAK-A-BKRG PC case ATX STREAK RGB USB 3.0 - DOUBLE RGB STRIP 1x80mm FAN;44.99€
AEROPGSCS-109G-BK-V1;AEROCOOL PGS CS-109-G-BK-v1 FRGB - case;45.99€
AEROPGSDELTA-A-BK-V1;AEROCOOL PGS DELTA-A-BK-v1 RGB - case;45.99€
AEROPGSSPLIT-A-BKRGB;AEROCOOL AEROPGSSPLIT-A-BKRGB PC case ATX SPLIT RGB USB 3.0 - RGB STRIP 1x120mm FAN;46.29€
AEROPGSCS-109G-WT-V1;AEROCOOL PGS CS-109-G-WT-v1 FRGB - case;46.79€
AEROPGS-HEXFORM-GBK2;AEROCOOL PGS HEXFORM-G-BK-V2 FRGB case;47.19€
S2 TG;ZALMAN S2 TG Mid Tower PC CASE;47.39€
MAG FORGE 110R;Case|MSI|MAG FORGE 110R|MidiTower|Not included|ATX|MicroATX|MiniITX|Colour Black|MAGFORGE110R;47.69€
KRXD002;KRUX SCOR;47.69€
AEROPGSPRIME-G-BK-V1;AEROCOOL PGS PRIME-G-BK-v1 RGB - case;47.79€
DP-MATX-MATREXX40-3FS;Deepcool | MATREXX 40 3FS | Black | Micro ATX | Power supply included N | ATX PS2_Length less than 170mm;48.19€
MSC10005;PC CASE MS ELEMENT M310 BLACK;48.29€
EY2A015;Endorfy Armis 100 Solid kompiuterio korpusas (EY2A015);48.89€
RAIDERDK6;Case|GOLDEN TIGER|Raider DK-6|MidiTower|Case product features Transparent panel|Not included|ATX|Colour Black|RAIDERDK6;48.99€
NFO-2152;FURY Shobo SH4F „Midi Tower“ Juoda;49.29€
S3 TG;ZALMAN S3 TG Mid Tower PC CASE;49.39€
AEROPGSMECHA-G-BK-V1;AEROCOOL PGS MECHA-G-BK-v1 RGB - case;49.39€
AT-DART-PRO-SOLI-10;Logic DART PRO SOLID MIDI USB-C korpusas juoda;49.79€
CGR-5NC1B-G;COUGAR MX330-G PC Case, Mid Tower;49.89€
CGR-5PC4W-RGB;COUGAR PURITY RGB PC Case, Mini Tower, White;49.89€
CGR-MX330-G PRO;COUGAR MX330-G PRO PC Case, Mid Tower, Black;49.89€
CGR-5CC6G-RGB;COUGAR MX360 RGB PC Case, Mid Tower;49.89€
AEROPGSTALON-A-BK-V1;AEROCOOL PGS TALON-A-BK-v1 RGB - case;50.29€
AEROPGSVOLCAN-G-BK-V1;Kompiuterio dėklas Aerocool PGS Volcan-G-BK-V1;51.19€
T7;PC case T7 ATX Mid Tower Acrylic Side Panel;51.49€
AEROPGSZAURON-FRGB-G;AEROCOOL PGS ZAURON FRGB-G-BK-v1 Black Mid Tower PC case;51.99€
CA-1Z6-00M1WN-01;PC case Versa XM1 Black Steel 120mm Fan USB3.0 - black;52.29€
OCT908;iBox CETUS 908 „Midi Tower“ Juoda;53.19€
AEROPGSBOLTMINI-BK-R;AEROCOOL PGS BOLT MINI RGB Black Mini Tower PC case;53.39€
AEROPGSDESIGNER-G-BK-V1;Kompiuterio korpusas Aerocool PGS Designer-G-BK-V1;53.59€
R-CC360-WHAPM3-G-1;Deepcool | ARGB Micro-ATX CASE | CC360 | White | Mini-ITX / Micro-ATX | Power supply included No | ATX PS2 （maximum length: 160mm）;53.89€
MSC10022;PC GAMING CASE MS ARMOR V310 BLACK;54.00€
AM-DART-PRO-0000-10;Logic DART PRO MINI USB-C korpusas juoda;54.19€
AEROPGSCYLON-BK;AEROCOOL AEROPGSCYLON-BK PC case ATX without PSU CYLON RGB - USB3.0;54.59€
AT-AGIR-MG-10-000000-0002;Logic Agir Mesh + Glass USB 3.0 juodas korpusas be maitinimo šaltinio;54.99€
AM-ATOS-10-0000000-0002;LOGIC ATOS ARGB Mini USB 3.0 korpusas;54.99€
KRXD007;KRUX NADIR BŪSTAS;55.19€
MSC10002;PC CASE MS ELEMENT M100 BLACK;55.29€
AT-OBERON-PR-10-000000-0002-LE;Kompiuterio korpusas Modecom Oberon Pro Midi bokštas juoda;55.39€
AT-OBERON-PR-10-000000-0002;Modecom Oberon Pro „Midi Tower“ Juoda;55.59€
OCT906;iBox CETUS 906 „Midi Tower“ Juoda;55.89€
AM-DART-PRO-0000-20;Logic DART PRO MINI USB-C korpusas Balta;56.29€
FD-CA-FOCUS-WT-W;FRACTAL DESIGN Focus G White Window;56.69€
CA-1Z6-00M1WN-00;PC case Versa XM1 Tempered Glass 120mm Fan USB3.0 - black;56.69€
OLU27;IBOX Lupus 27 PC case;57.59€
75261537;XPG VALOR AIR PLUS „Midi Tower“ Juoda;57.59€
MAG FORGE 100M;MSI MAG FORGE 100M kompiutrerio korpusas su 2 x 120 mm RGB LED Fan priekyje | 4mm Grūdinto stiklo langas | magnetinis dulkių filtras;57.89€
Z1 ICEBERG BLACK;Z1 Iceberg ATX M id Tower PC Case Black;58.49€
AT-DART-PRO-0000-10;Logic DART PRO MIDI USB-C korpusas juoda;58.49€
AEROPGS-FALCON-ABKV1;AEROCOOL PGS FALCON-A-BK-V1 FRGB case;58.59€
AEROPGSBIONIC-G-WTV2;AEROCOOL PGS BIONIC-G-WT-v2 RGB - case;58.59€
OCT903;iBox CETUS 903 „Midi Tower“ Juoda;58.59€
R-CH510-WHNNE1-G-1;Deepcool | MID TOWER CASE | CH510 | Side window | White | Mid-Tower | Power supply included No | ATX PS2;59.00€
CA-1B2-00M1NN-00;THERMALTAKE Versa H21 Midi Tower Case black front-top I/O ports with 1x USB2.0 and 1x USB 3.0 Tool-free installation;59.19€
EY2A001;ENDORFY Ventum 200 Solid ATX PC case;60.19€
MAG FORGE M100R;MSI MAG FORGE M100R case;60.49€
CGR-5ZD1B-AIR;COUGAR AIRFACE PC Case, Mid Tower, Black;60.49€
CP320-KGNN-S00;Cooler Master CMP 320 | Black | Mini Tower | Power supply included No;60.49€
AT-DART-PRO-0000-20;Logic DART PRO MIDI USB-C korpusas Balta;60.69€
