Model;Name;Price
MF-321;GEMBIRD MF-321 metal mounting frame for 2.5inch HDD/SSD to 3.5 bay;0.89€
R-PIXEL-PK100-G-1;Deepcool Decorative Case Bits | PIXEL Series | Pink;2.49€
R-PIXEL-TV100-G-1;Deepcool Decorative Case Bits | PIXEL Series | Violet;2.49€
R-PIXEL-BK100-G-1;Deepcool Decorative Case Bits | PIXEL | Black;2.79€
R-PIXEL-WH100-G-1;Deepcool Decorative Case Bits | PIXEL | White;2.79€
R-PIXEL-RD100-G-1;Deepcool Decorative Case Bits | PIXEL | Red;2.79€
R-PIXEL-GY100-G-1;Deepcool Decorative Case Bits | PIXEL | Gray;2.79€
R-PIXEL-PO100-G-1;Deepcool Decorative Case Bits | PIXEL | Orange;2.79€
IF-35-25;LANBERG IF-35-25 Metal Mounting frame for 3.5inch to 2.5inch SSD/HDD;4.69€
DP-LED-RGB200EX;Deepcool Motherboard Controlled RGB LED Strip RGB 200 EX;4.79€
BGA05;BE QUIET HDD Cage for Base Pro 900 rev. 2 / Base 900 / Base 700 / Base 802 / Silent Base 801 / Silent Base 601 / Pure Base 600;6.69€
NA-SRC7;Noctua NA-SRC7 Kompiuterio aušinimo sistemos dalis arba priedas;11.29€
FD-A-USBC-001;FRACTAL DESIGN USB-C 10Gbps Cable Model D;11.59€
BL106;BE QUIET PURE WINGS 3 120mm PWM high-speed Fan;11.79€
BL107;BE QUIET PURE WINGS 3 140mm Fan;12.19€
FD-A-TRAY-001;FRACTAL DESIGN HDD Tray Kit Type B Black Dual pack;12.69€
FD-A-CAGE-001;FRACTAL DESIGN Define 7 HDD cage Kit Type B Black;12.89€
NA-SYC1;Noctua NA-SYC1 4 Pin Y aušintuvų pajungimo skirstytuvas/kabelis;13.59€
FD-A-BRKT-003;FRACTAL DESIGN Universal Multibracket Type A Black Dual pack;13.69€
NA-SFMA1;Noctua NA-SFMA1 kompiuterio aušinimo komponentas Universalus Montavimo rinkinys Juoda 2 vnt;13.99€
DP-F04PWM-HUB;Deepcool FH-04 fan hub | Deepcool | FH-04;14.79€
BC073;BE QUIET 12V-2x6 12VHPWR 90 Degree Cable PCI-E CH-7710;16.59€
G89.RF-T-B.00;CASE ACC L-WIRELESS CONTROLLER/G89.RF-T-B.00 LIAN LI;17.49€
G89.RF-T-W.00;CASE ACC L-WIRELESS CONTROLLER/G89.RF-T-W.00 LIAN LI;17.49€
BL120;BE QUIET LIGHT WINGS LX 120mm PWM;17.59€
AC-002-ON1NAN-A1;Matrix D12 - 120mm magnetic dust filter;18.19€
40463;USB PORT BLOCKER 10PACK/ORANGE 40463 LINDY;18.19€
40460;USB PORT BLOCKER 10PACK/PINK 40460 LINDY;19.19€
40461;USB PORT BLOCKER 10PACK/GREEN 40461 LINDY;19.19€
40462;USB PORT BLOCKER 10PACK/BLUE 40462 LINDY;19.19€
NA-HC8.BLACK;Noctua NA-HC8 chromax.black juoda;23.19€
40452;USB PORT BLOCKER 4PACK/BLUE 40452 LINDY;24.79€
40453;USB PORT BLOCKER 4PACK/ORANGE 40453 LINDY;24.79€
40454;USB PORT BLOCKER 4PACK/WHITE 40454 LINDY;24.79€
BGA03;BE QUIET PURE BASE 600 Glass Window;25.59€
NA-FC1;Noctua NA-FC1 ventiliatoriaus greičio reguliatorius 3 kanalai Juoda;25.59€
40450;USB PORT BLOCKER 4PACK/PINK 40450 LINDY;25.99€
40451;USB PORT BLOCKER 4PACK/GREEN 40451 LINDY;25.99€
90DA0020-B09000;VGA ACC HOLDER/XH01 ROG HERCULX ASUS;36.69€
BL121;BE QUIET LIGHT WINGS LX 120mm PWM Triple-Pack;44.19€
G89.PW8-1W.00;CASE ACC STRIMER WRL GPU/G89.PW8-1W.00 LIAN LI;44.59€
BL130;BE QUIET LIGHT WINGS LX 140mm PWM high-speed Triple-Pack;46.19€
BL127;BE QUIET LIGHT WINGS LX 140mm PWM Triple-Pack;46.19€
BL122;BE QUIET LIGHT WINGS LX 120mm PWM White Triple-Pack;46.89€
G89.PW16-81W.00;CASE ACC STRIMER WRL 12V-2X6/LG#8 G89.PW16-81W.00 LIAN LI;46.99€
BL128;BE QUIET LIGHT WINGS LX 140mm PWM White Triple-Pack;49.19€
AC-071-CO1OTN-C1;Thermaltake Riser TT Pr emium PCI-E 4.0 130mm 9;60.79€
G89.PW24-1W-T.00;CASE ACC STRIMER WRL 24P/G89.PW24-1W-T.00 LIAN LI;62.19€
R-VERTICAL-GPU-BRACKET-G-1;Deepcool | R-Vertical-GPU-Bracket-G-1 | 18 x 121x 143 mm;65.59€
FD-A-FLX2-002;Fractal Design | ATX case Flex 2, PCIe 4.0 x16 | White;70.79€
BK036;BE QUIET Dark Rock Pro 5 processor cooler;100.49€
BK037;BE QUIET Dark Rock Elite RGB processor cooler;116.79€
90SC0H70-M0XBN0;Riser Asus RG16LX2-R2PC 90SC0H70-M0XBN0;121.19€
90SC0HA0-M0XBN0;Riser Asus RG16RX2G16L-R2PC 90SC0HA0-M0XBN0;128.39€
