Model;Name;Price
FSP250-50TACSO;SALE OUT.  | Fortron | TFX | FSP250-50TAC | REFURBISHED | 250 W;6.49€
FAL506FS12B;Power Supply|TECNOWARE|500 Watts|MTBF 100000 hours|FAL506FS12B;19.29€
FAL550FS12;Power Supply|TECNOWARE|550 Watts|FAL550FS12;22.89€
AK-B1-400;Akyga AK-B1-400 maitinimo blokas 400 W 20+4 pin ATX ATX Žalia;23.29€
IT-SL500K_12CM_BULK;Power Supply INTER-TECH SL-500K, 500W, 120mm fan, bulk(maišelyje);23.89€
XN051;Power Supply|XILENCE|400 Watts|PFC Passive|XN051;24.19€
IT-TFX300W;INTER-TECH Argus TFX-300W Activus PFC, 1x80;29.79€
ATX 350W BULK;Qoltec ATX maitinimo blokas SilentLine 350W PFC II;32.29€
XN053;Power Supply|XILENCE|600 Watts|PFC Passive|XN053;33.89€
GPB-350S;CHIEFTEC GPB 350W ATX 230V >85proc PFC Bulk;35.19€
ZIC2400W12CMFA;iBox CUBE II maitinimo blokas 400 W 20+4 pin ATX ATX Sidabras;35.49€
R-PF350D-HA0B-EU;DEEPCOOL PF350 350W 80 PLUS Standard PSU, ATX12V V2.4,  Black | Deepcool | PF350 | 350 W;36.29€
RECZAS00002;Power supply ATX ver2.31 TITAN 400W;37.19€
88882111;PSU HiPower SP-650, 650W;37.39€
STC500;COUGAR STC500 PSU, 80 plus White, 500W;37.90€
RGB-500_II;Power Supply INTER-TECH Argus RGB, 80PLUS Bronze, 500W, Retail, 1x140 Fan, 1x20+4Pin, 4+4Pin, 1xPCI-e 6+2Pin, 4x4Pin (Molex), 4xSATA, 1xFDD, rev 2.0;38.29€
GPB-400S;PSU Chieftec ATX IARENA series GPB-400S, 400W;38.39€
RBLZAS00003;Power supplay ATX ver2.31 TITAN 450W;39.19€
GPB-450S;PSU Chieftec ATX-12v IARENA series - GPB-450S, went. 12cm, 450W;39.29€
XN054;Power Supply|XILENCE|700 Watts|PFC Active|XN054;39.49€
ZIC2500W12CMFA;PSU I-BOX Cube II 500W, ATX, 12cm ventiliatorius;39.69€
ZAS-LOGI-LC-400-ATX-PFC;POWER FEEL 400W 12MM;40.19€
GPB-500S;PSU Chieftec ATX IARENA series GPB-500S, 12cm fan, 500W bulk;40.59€
GP-P450B;Gigabyte | GP-P450B | 450 W;41.39€
GPF-350P;CHIEFTEC 350W TFX PSU PFC 230V ONLY 350W BULK;42.19€
CGR XG-550;COUGAR XTC550 ARGB PSU, 80 plus White,550W, ARGB;42.39€
GP-P550SS ICE GEU1;Gigabyte PSU | GP-P550SS ICE GEU1 | 550 W;43.79€
GPE-500S;CHIEFTEC ECO Series 500W ATX-12V V.2.3 PSU type with 12cm fan Active PFC 230V only 85proc Efficiency including power cord;44.19€
XN421 BULK;Power Supply|XILENCE|Performance C+ | XP650R6.2|650 Watts|Efficiency 80 PLUS|PFC Active|XN421BULK;44.29€
ZPU-400S;CHIEFTEC EON 400W 80 Plus ATX 12V PSU;44.39€
AK-B1-600;AKYGA AK-B1-600 Basic ATX Power Supply 600W Fan12cm P4 3xSATA PCI-E;44.49€
GPF-400P;CHIEFTEC SMART TFX 400W 80+Bronze ATX 12V 2.3 PSU;44.59€
GPS-500A8;CHIEFTEC PSU 500W 12CM FAN ACTIVE PFC ATX12V V2.3 80+ EFF. WITH POWER CORD;44.69€
88882112;PSU HiPower SP-750, 750W;44.69€
STC600;COUGAR STC600 PSU, 80 plus White, 600W;45.39€
GP-P550SS;Power Supply|GIGABYTE|550 Watts|Efficiency 80 PLUS SILVER|PFC Active|MTBF 100000 hours|GP-P550SS;45.39€
TACMARS-MPB550SI;Power supply Tacens Mars MPB550SI 550W 80Plus Bronze;45.79€
GP-P550SS ICE;Power Supply|GIGABYTE|GP-P550SS ICE|550 Watts|Efficiency 80 PLUS SILVER|PFC Active|MTBF 100000 hours|GP-P550SSICE;46.49€
RBLZAS00016;Power supply ATX RAPTOR 500W, BRONZE 80+,Single;47.19€
BFX-350BS;CHIEFTEC PSU 350W SFX 80PLUS BRONZE bulk;47.79€
TACANIMA-APB650;Power supply Tacens Anima APB650 650W 80Plus Bronze;47.99€
AC-069-OO1NAN-A1;Thermaltake Dr. Power III maitinimo šaltinių testeris Juoda;48.69€
ZPU-500S;CHIEFTEC EON 500W 80 Plus ATX 12V PSU;49.19€
LC420-12 V2.31;PSU 350W LC420-12 V2.31 80+ BRONZE;49.49€
ZIC2600W12CMFA;IBOX CUBE II 600W APFC 12CM FAN BLACK EDITION power supply;49.49€
ZPU-600S;CHIEFTEC EON 600W 80 Plus ATX 12V PSU;50.19€
GP-P550B;Gigabyte | GP-P550B | 550 W;50.59€
PS-LTP-0350NPCNEU-2;Thermaltake Litepower II maitinimo blokas 350 W 24-pin ATX ATX Juoda;50.69€
APB-400B8;CHIEFTEC Value series PSU 400W 80 PLUS 230V EU;50.89€
BFX-450BS;CHIEFTEC PSU 450W SFX 80PLUS BRONZE bulk;50.90€
GPE-600S;CHIEFTEC ECO Series 600W ATX-12V V.2.3 PSU type with 12cm fan Active PFC 230V only 85proc Efficiency including power cord;50.99€
AK-B1-700;AKYGA AK-B1-700 Basic ATX Power Supply 700W Fan12cm P8 5xSATA PCI-E;50.99€
RBLZAS00017;The power supply ATX RAP TOR,600W,BRONZE 80+,Sin;51.29€
GPS-600A8;CHIEFTEC PSU 600W 12CM ATX12V2.3 APFC80+;51.49€
ZIC2700W12CMFA;iBox CUBE II maitinimo blokas 700 W 20+4 pin ATX ATX Juoda;52.19€
RBLZAS00006;PC Power Supply ATX 700W TITAN ver 2.31;52.69€
EY7A002;Elementum E5 450 W;52.89€
PS-LTP-0450NPCNEU-2;Thermaltake Litepower G2 maitinimo blokas 450 W 24-pin ATX ATX Juoda;53.79€
ZIA500W14CMBOX;IBOX AURORA 500W 14cm fan PSU GAMING;53.89€
LC500-12 V2.31;PSU 400W LC500-12 V2.31 80+ BRONZE;54.19€
PSF-400B;CHIEFTEC PSF-400B ATX-12V 2.3 with 8cm Fan Active PFC Bronze;54.19€
GP-P650SS ICE GEU1;Gigabyte PSU | GP-P650SS ICE GEU1 | 650 W;54.19€
