Model;Name;Price
F3-1600C11S-4GSL;G.SKILL DDR3L 4GB 1600MHz CL11 SO-DIMM 1.35V;8.59€
F3-1600C9S-4GRSL;G.SKILL Ripjaws DDR3 4GB 1600MHz CL9 SO-DIMM 1.35V;9.29€
SP004GBSFU266X02;SILICON POWER DDR4 4GB 2666MHz CL19 SO-DIMM 1.2V;10.49€
PSD34G13332S;Patriot Memory 4GB DDR3 SODIMM atminties modulis 1333 MHz;11.19€
MN8GSD43200-SI;Kompiuterio atmintis PNY XLR8 MN8GSD43200-SI RAM modulis 8GB DDR4 SODIMM 3200MHZ;11.59€
F4-3200C22S-8GRS;G.SKILL Ripjaws DDR4 8GB 3200MHz CL22 SO-DIMM 1.2V;13.29€
LD4AS008G-B3200GSST;NB MEMORY 8GB PC25600 DDR4/SO LD4AS008G-B3200GSST LEXAR;13.59€
PSD48G266681S;PATRIOT Signature DDR4 SL 8GB 2666MHZ SODIMM CL19;14.19€
SP008GBSFU320X02;SILICON POWER DDR4 8GB 3200MHz CL22 SODIMM;14.49€
PSD48G320081S;PATRIOT Signature Series 8GB DDR4 1x8GB 3200MHz SODIMM Single;14.59€
F4-2666C19S-8GRS;NB MEMORY 8GB PC21300 DDR4/SO F4-2666C19S-8GRS G.SKILL;14.69€
SP008GBSFU266X02;SILICON POWER DDR4 8GB 2666MHz CL19 SODIMM;14.69€
F3-1600C11S-8GSL;G.SKILL DDR3L 8GB 1600MHz CL11 SO-DIMM 1.35V;14.79€
PSD44G240081S;DDR4 Signature 4GB/2400 (14GB) CL17;15.19€
F3-1600C9S-8GRSL;G.SKILL SODIMM 8GB 1600 MHz;15.69€
CT8G4SFRA32A;Crucial 8 GB, DDR4, 3200 MHz, CL22  Notebook,;16.19€
KVR26S19S6/4;Kingston | 4 GB | DDR4 | 2666 MHz | Notebook | Registered No | ECC No;16.19€
SOD8GBN12800/3L-SB;PNY 8GB DDR3 1600MHz atminties modulis 1 x 8 GB;16.29€
AFSD34BN1P;AFOX AFSD34BN1P atminties modulis 4 GB 1 x 4 GB DDR3 1600 MHz;16.39€
GR1600S364L11S/4G;GOODRAM DDR3 4GB 1600MHz CL11 SODIMM 1.5V 512x8;16.79€
KVR26S19S8/8;KINGSTON 8GB 2666MHz DDR4 Non-ECC CL19 SODIMM 1Rx8;17.29€
PSD44G266681S;PATRIOT DDR4 SL 4GB 2666MHz SODIMM;17.39€
GR1600S3V64L11S/4G;SODIMM DDR3 4GB/1600 CL11 1,35V Low Voltage;17.49€
KVR32S22S6/8;KINGSTON 8GB 3200MHz DDR4 Non-ECC CL22 SODIMM 1Rx16;17.49€
KF432S20IB/8;KINGSTON 8GB 3200MHz DDR4 CL20 SODIMM FURY Impact;17.69€
