Model;Name;Price
KCP426NS6/8;KINGSTON 8GB DDR4 2666MHz Single Rank DIMM Module;17.79€
KCP432NS6/8;KINGSTON 8GB DDR4 3200MHz Single Rank DIMM Module;18.59€
KCP426SS6/8;KINGSTON 8GB DDR4 2666MHz Single Rank SODIMM;22.79€
KCP432SD8/16;KINGSTON 16GB DDR4 3200MHz SODIMM;32.49€
KCP432NS8/16;KINGSTON 16GB DDR4 3200MHz Single Rank Module;32.49€
KCP432SS8/16;KINGSTON 16GB DDR4 3200MHz Single Rank SODIMM;32.49€
JM2666HLG-16GK;TRANSCEND 16GB KIT JM DDR4 2666Mhz U-DIMM 1Rx16 1Gx16 CL19 1.2V;80.39€
5S4C3AA#ABB;HP 8GB 4800MHz DDR5 SODIMM RAM Memory for HP Notebooks;81.59€
JM3200HLB-16GK;TRANSCEND JetRam 16GB KIT DDR4 3200Mhz U-DIMM 1Rx8 1Gx8 CL22 1.2V;81.99€
JM5600ALE-24G;TRANSCEND 24GB JM DDR5 5600 U-DIMM 1Rx8 3Gx8 CL46 1.1V;86.19€
JM5600ALE-32G;TRANSCEND 32GB JM DDR5 5600 U-DIMM 2Rx8 2Gx8 CL46 1.1V;86.39€
JM3200HLE-32GK;TRANSCEND JetRam 32GB KIT DDR4 3200Mhz U-DIMM 1Rx8 2Gx8 CL22 1.2V;123.59€
JM5600ALE-48G;TRANSCEND 48GB JM DDR5 5600 U-DIMM 2Rx8 3Gx8 CL46 1.1V;164.59€
4X71N34264;Lenovo | 16 GB | DDR5 | 4800 MHz | PC/server | Registered No | ECC No;191.89€
370-AGDS;Dell 32GB RDIMM, 3200MT/s, Dual Rank 16Gb BASE | Dell | 32 GB | DDR4 | 3200 MHz | PC/server | Registered Yes | ECC Yes;245.39€
4X71N34265;Lenovo | 32 GB | DDR5 | 4800 MHz | PC/server | Registered No | ECC No;385.39€
D4EC-2666-16G;SYNOLOGY D4EC-2666-16G 16GB RAM DDR4 ECC Unbuffered DIMM;414.00€
4X71M23190;Lenovo | 48 GB | DDR5 | 5600 MHz | Notebook;424.00€
