Model;Name;Price
DVD-USB-04;DVD RW USB2 8X EXT RTL/DVD-USB-04 GEMBIRD;13.69€
SAVIO AK-43;External DVD drive AK-43;16.49€
DVD-USB-03;DVD RW USB3/USB-C 8X EXT RTL/BLACK DVD-USB-03 GEMBIRD;16.59€
DVD-USB-03-BW;GEMBIRD External USB DVD drive USB 3.1 black-white;16.59€
DU-8AESH;LITEON DU-8AESH Internal DRW LiteOn DU-8AESH, SATA, Bulk, Slim 9,5mm;17.79€
AK-43;SAVIO IŠORINIS PLONAS DVD ĮRAŠYMO ĮRENGINYS AK-43;21.49€
ES1;LITEON ES1 External DRW LiteOn ES1, USB, 24x, Ultra-Slim 13.5mm, ultra-light, Black;22.00€
51858;QOLTEC External DVD-RW recorder USB 2.0;22.49€
SAVAK-59;External Slim drive DVD SAVIO AK-59;24.49€
51857;QOLTEC External DVD-RW recorder USB 3.0;25.19€
KRX0123;KRUX DVD Protable Drive Balta;25.79€
DU-8AESH-01-B;Lite-On DU-8AESH optinių diskų įrenginys Vidinis Juoda DVD±RW;26.39€
90DD027X-B10000;ASUS SDRW-08U1MT UltraSlim DVD Writer internal SATA;26.49€
KRX0071;KRUX išorinis DVD optinis įrenginys;27.19€
90-DQ0436-UA221KZ;ASUS SDRW-08D2S-U Lite ext.Slim DVD Writer 8x DVD±R 6x DVD±R DL 5x DVD-RAM USB 2.0 incl.Cyberlink Power2Go white;27.59€
AK-59;SAVIO AK-59 Išorinis plonas R/RW CD/DVD įrašymo įrenginys - USB-C/USB-A, juodas;28.19€
SDRW-08D2S-ULITE/WH/G/AS;DVD RW USB2 8X EXT RTL/SDRW-08D2S-U LITE/WH/G/AS ASUS;28.39€
TS8XDVDS-W;TRANSCEND 8X DVDS-W Ultra-slim Writer USB 2.0 extern White CD-R/RW DVD+/-R DVDR+/-W DVD+/-R DL DVD-RAM;31.19€
SDRW-08U8M-U/BLK/G/AS/P2G;DVD RW USB2 8X EXT RTL BLACK/SDRW-08U8M-U/BLK/G/AS/P2G ASUS;31.19€
SDRW-08U8M-U/SIL/G/AS/P2G;DVD RW USB2 8X EXT RTL SILVER/SDRW-08U8M-U/SIL/G/AS/P2G ASUS;31.19€
TS8XDVDS-K;TRANSCEND 8X DVDS-K Ultra-slim Writer USB 2.0 extern Black CD-R/RW DVD+/-R DVD+/-RW DVD+/-R DL DVD-RAM;32.39€
90DD0295-M29000;ASUS SDRW-08U8M-U/GOLD/G/AS/P2G External Ultraslim 8X DVD writer USB Type-C Mac Compatible 13.9mm Ultraslim M-DISC NERO Backitup;32.49€
98938;DVD-RW Verbatim USB 2.0 External;35.59€
90DD01X2-M29000;ASUS SDRW-08U7M-U NEW Zen-Drive 2x free M Disc DVDs ASUSWebStorage NERO Backitup Power2Go 8 Power Backup silver;36.69€
GUD1N.CHLA10B;LG GUD1N Vidinis DVD-RW optinis diskas juodas;38.69€
GP57ES40;Hitachi-LG Slim Portable DVD-Writer optinių diskų įrenginys DVD±RW Sidabras;38.69€
GP57EB40;Hitachi-LG Slim Portable DVD-Writer optinių diskų įrenginys DVD±RW Juoda;38.69€
90DD02L0-M29000;ASUS ZenDrive V1M USB-C external DVD Writer with built-in cable-storage design M-DISC support Backup SW Black;38.79€
SDRW-08V1MU/BLK/G/AS/P2G;DVD RW USB2 8X EXT RTL BLACK/SDRW-08V1MU/BLK/G/AS/P2G ASUS;38.89€
SDRW-08U9M-U/BLK/G/AS/P2G;DVD RW USB2 8X EXT RTL BLACK/SDRW-08U9M-U/BLK/G/AS/P2G ASUS;38.99€
SDRW-08U9M-U/BLK/G/AS;External DRW ASUS SDRW-08U9M-U, USB Type-C (connects to Macbook) and Type-A cables, Ultra-Slim, M-disk support Black;39.29€
SDRW-08U9M-U/GOLD/G/AS/P2G;Nagrywarka zewnętrzna ZenDrive U9M Ultra-slim DVD USB/USB-c złota;39.79€
SDRW-08U7M-U/BLK/G/AS/P2G;DVD RW USB2 8X EXT RTL BLACK/SDRW-08U7M-U/BLK/G/AS/P2G ASUS;39.89€
GTC2N.CHLA10B;Vidinis DVD-RW įrašymo įrenginys 12.7MM SLIM GTC2N BULK / HITACHI-LG;39.99€
90DD0112-M29000;ASUS SDRW-08U5S-U UltraDrive Silber DVD Writer extern USB 2.0 PowerOverUSB DVD 200ms/CD 200ms + Cyberlink Power2Go 8;40.79€
SDRW-08U9M-U/SIL/G/AS/P2G;Nagrywarka zewnętrzna ZenDrive U9M Ultra-slim DVD USB/USB-c srebrna;40.99€
SDRW-08U7M-U/SIL/G/AS/P2G;DVD RW USB2 8X EXT RTL SILVER/SDRW-08U7M-U/SIL/G/AS/P2G ASUS;41.19€
90DD02A0-M29000;ASUS ZenDrive U9M USB-C ext.Ultra SLIM DVD Writer incl.USB-C cabel Brennsoftware+Nero Backup App black;42.00€
SDRW-08V1M-U/BLK/G/AS/P2G;Ultraslim external recorder 08V1M-U USB-C;42.79€
90DD02A5-M29000;ASUS ZenDrive U9M USB-C ext.Ultra SLIM DVD Writer incl.USB-C cabel Brennsoftware+Nero Backup App gold;43.19€
784-BBBI;NB ACC DVD+/-RW USB EXTERNAL/DW316 784-BBBI DELL;44.99€
43886;CD/DVD Recorder USB-C 3.2 slim;45.39€
90DD02G0-M29000;ASUS SBW-06D5H-U Blu-Ray external Cyberlink Power2Go 7 Burn BDXL Support USB 3.0;119.79€
7XA7A05926;LENOVO ThinkSystem External USB DVD-RW Optical Disk Drive;145.49€
90DD01L0-M69000;ASUS BW-16D1H-U PRO Blu-ray Combo USB 3.0 external black 12xBD-R 16xDVD±R 12xDVD±R DL 5xDVD-RAM incl. Cyberlink;159.39€
