Model;Name;Price
H510M-H2/M.2 SE;ASRock | H510M-H2/M.2 SE | Processor family Intel | Processor socket LGA1200 | DDR4 | Number of SATA connectors 4;52.79€
H310CM-DVS;ASRock | H310CM-DVS | Processor family Intel | Processor socket LGA1151 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA3 | Number of SATA connectors 4 | Chipset Intel H310 | Micro ATX;53.49€
A520MHP;Mainboard|BIOSTAR|AMD A520|SAM4|Micro-ATX|Memory DDR4|Memory slots 2|2xPCI-Express 3.0 1x|1xPCI-Express 3.0 16x|1xM.2|1x15pin D-sub|1xHDMI|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|A520MHP;53.99€
A520M K V2;Gigabyte | A520M K V2 1.0 M/B | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset AMD A520 | Micro ATX;54.99€
A68N-2100K;Biostar A68N-2100K pagrindinė plokštė „mini ITXs“;55.69€
B450M-HDV R4.0;ASRock | B450M-HDV R4.0 | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset AMD Promontory B450 | Micro ATX;56.00€
A520M-HDV;ASRock | A520M-HDV | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset AMD A520 | Micro ATX;59.99€
A520M S2H 1.3;Mainboard|GIGABYTE|AMD A520|SAM4|Micro-ATX|Memory DDR4|Memory slots 2|2xPCI-Express 3.0 1x|1xPCI-Express 3.0 16x|1xM.2|1x15pin D-sub|1xDVI-D|1xHDMI|2xAV-In|1xAV-out|2xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|A520MS2H1.3;60.79€
H510M K V2;Gigabyte | H510M K V2 1.0 M/B | Processor family Intel | Processor socket  LGA1200 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 2 | Chipset Intel H470 Express | Micro ATX;61.79€
A520M S2H;Gigabyte | A520M S2H 1.0 | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 2 | Chipset AMD A | Micro ATX;62.29€
H410M H V2;Gigabyte | H410M H V2 1.0 M/B | Processor family Intel | Processor socket LGA1200 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset Micro ATX | Intel H;63.29€
H610M-H2/M.2;ASRock H610M-H2/M.2 | Processor family Intel | Processor socket LGA1700 | DDR4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;63.79€
