Model;Name;Price
YD30GEC6M2OFH;AMD CPU Athlon 300GE 2C/4T 3.4GHz 5MB 35W AM4 TRAY with Radeon Vega Graphics;32.99€
100-000000284;AMD Ryzen 3 3100 procesorius Tray 3,6 GHz 16 MB L3;35.49€
100-100000284BOX;AMD Ryzen 3 3100 3.6GHz CPU 18MB cache 256KB cache AM4 socket BOXED;41.29€
BX80701G5905 S RK27;CPU|INTEL|Celeron|G5905|Comet Lake|3500 MHz|Cores 2|4MB|Socket LGA1200|58 Watts|GPU UHD 610|BOX|BX80701G5905SRK27;43.59€
100-000000644;AMD CPU Desktop Ryzen 5 6C/12T 4500 (3.6/4.1GHz Boost,11MB,65W,AM4) Tray (ne gamyklinė pakuotė, be priedų);62.49€
100-100000510BOX;CPU|AMD|Desktop|Ryzen 3|4100|Renoir|3800 MHz|Cores 4|2MB|Socket SAM4|65 Watts|BOX|100-100000510BOX;63.49€
YD3200C5FHBOX;AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics 4C/4T, 4 GHz, 6 MB, AM4, 65W, 12nm, BOX;63.59€
100-100000510BOX;AMD Ryzen 3 4100 4GHz AM4 4C/8T 65W 6MB with Wraith Stealth Cooler BOX;63.59€
BX80701G6405SRH3Z;CPU|INTEL|Pentium|G6405|Comet Lake|4100 MHz|Cores 2|4MB|Socket LGA1200|58 Watts|GPU UHD 610|BOX|BX80701G6405SRH3Z;65.49€
100-100000031SBX;AMD Ryzen 5 3600 4.2GHz AM4 6C/12T 65W 35MB with Wraith Spire Cooler BOX;70.29€
100-100000031MPK;AMD Ryzen 5 3600 Socket SAM4OEM 100-100000031MPK (CPU atskirai nuo aušintuvo burbulinėje plėvelėje);71.19€
100-000000457;CPU RYZEN X6 R5-5500 SAM4/65W 3600 100-000000457 AMD negamyklinėje pakuotėje be priedų;73.99€
100-100000644BOX;AMD Ryzen 5 4500 4.1GHz AM4 6C/12T 65W BOX;74.79€
100-100000644BOX;CPU|AMD|Desktop|Ryzen 5|4500|Renoir|3600 MHz|Cores 6|8MB|Socket SAM4|65 Watts|BOX|100-100000644BOX;74.99€
YD3400C5FHBOX;AMD Ryzen 5 4C/8T 3400G (4.2GHz,6MB,65W,AM4) box, RX Vega 11 Graphics (su aušintuvu dėžutėje);75.49€
100-000000031;AMD Ryzen 5 3600 procesorius 3,6 GHz 32 MB L3 - Tray (negamyklinėje pakuotėje be pried);76.49€
100-100000457MPK;AMD Ryzen 5 5500 Multipack AM4 3.6/4.2GHz 6C/12T 19MB cache 65W (neorginali AMD pakuotė CPU+aušintuvas);78.49€
BX8071512100FSRL63;CPU|INTEL|Desktop|Core i3|i3-12100F|Alder Lake|3300 MHz|Cores 4|12MB|Socket LGA1700|58 Watts|BOX|BX8071512100FSRL63;83.29€
BX8071512100F;INTEL Core i3-12100F, 4Cores/8Threads, 3.3-4.3GHz, LGA1700, be grafikos  (dėžutėje su aušintuvu);84.39€
BX8071513100F;INTEL Core i3-13100F 3.4Ghz FC-LGA16A 12M Cache Boxed CPU;85.49€
100-100000144BOX;CPU|AMD|Desktop|Ryzen 3 PRO|4300G|3800 MHz|Cores 4|4MB|Socket SAM4|65 Watts|GPU Radeon|BOX|100-100000144BOX;87.19€
100-100000144BOX;AMD Ryzen 3 4300G 4GHz AM4 4C/8T 65W 6MB with Wraith Stealth Cooler;87.49€
100-100000457BOX;AMD Ryzen 5 5500 4.2GHz AM4 6C/12T 65W BOX;87.89€
BX8071514100F;INTEL Core i3-14100F 3.5GHz LGA1700 12M Cache Boxed CPU;90.39€
BX8070110105;INTEL Core i3-10105 4Cores/8Threads 3.7GHz LGA1200 8M Cache, su aušintuvu dėžutėje;93.59€
CM8071505091904SRN3J;Intel CPU Desktop 300 (up to 3.90 GHz, 6M Cache, LGA1700) tray;95.79€
100-000000927;AMD Ryzen™ 5 5600 Cores 6/Threads 12, max 4.4GHz, AM4 (AMD negamyklinėje pakuotėje, be aušintuvo);96.59€
100-000000148;AMD Ryzen 3 PRO 4350G procesorius 3,8 GHz;99.99€
100-100001155;AMD Ryzen 5 PRO 4655G procesorius 3,7 GHz 8 MB L3 Tray;102.29€
