Model;Name;Price
A-CM-HDMIF-01;GEMBIRD A-CM-HDMIF-01 USB-C to HDMI adapter black;5.29€
A-CM-DPF-02;GEMBIRD USB Type-C to DisplayPort adapter cable 4K 15cm black;5.39€
A-CM-VGAF-01;GEMBIRD USB Type-C to VGA adapter cable 15cm black;5.59€
A-CM-HDMIM-01;GEMBIRD USB-C male to HDMI-male adapter 4K 30Hz 2m black;6.29€
A-CM-HDMIF-03;GEMBIRD USB Type-C to HDMI adapter cable 4K30Hz 15cm black;6.49€
A-CM-DPM-01;GEMBIRD USB-C to DisplayPort-male adapter 4K 60 Hz 2m black;6.79€
CUA0105;USB-C M/F cable, 4K/60Hz , alu, 0.5m;7.29€
A-CM-HDMIF-04;GEMBIRD USB Type-C to HDMI adapter cable 4K60Hz 15cm black;7.39€
ITVCDP4K;IBOX Cable USB-C to DisplayPort 4K 1.8m;7.79€
SAVAK-79;Adapter HDMI SAVIO;8.49€
AD-UC-DP-01;LANBERG AD-UC-DP-01 adapter USB TYPE-C M -Displayport F 15cm Black;8.59€
A-CM-HDMIF-02-SV;GEMBIRD A-CM-HDMIF-02-SV adapter USB type-C multi-adapter USB type C USB 3.0 HDMI;8.79€
A-CM-HDMIM-02;GEMBIRD USB-C to HDMI-male adapter 4K 60Hz 2m black;8.79€
CA-CMDP-10CU-0010-BK;LANBERG Cable USB-C M ->DisplayPort M 1m 4K 60Hz black;8.99€
CA-CMDP-10CU-0018-BK;LANBERG Cable USB-C M ->DisplayPort M 1.8m 4K 60Hz black;9.19€
AB-CM-VGAF-01;GEMBIRD AB-CM-VGAF-01 USB-C to VGA adapter black;9.49€
A-USB3C-DPF-01;GEMBIRD A-USB3C-DPF-01 USB Type-C to DisplayPort male adapter space grey;9.69€
CA-CMDP-10CU-0030-BK;LANBERG Cable USB-C M ->DisplayPort M 3m 4K 60Hz black;9.99€
AD-UC-HD-01;LANBERG AD-UC-HD-01 adapter USB TYPE-C M -HDMI F 15cm Black;10.19€
A-USB3C-HDMIVGA-01;GEMBIRD A-USB3C-HDMIVGA-01 USB Type-C to HDMI + VGA display adapter space grey;10.29€
CC-USB3C-HDMI-01-6;GEMBIRD CC-USB3C-HDMI-01-6 USB Type-C to HDMI display adapter cable space grey 1.8m;10.29€
A-CM-DPF-01;GEMBIRD A-CM-DPF-01 USB-C to DisplayPort adapter black;10.49€
CA-CMHD-10CU-0005-BK;LANBERG Cable USB-C M ->HDMI M 0.5m 4K 60Hz black;10.99€
CA-CMHD-10CU-0018-BK;LANBERG Cable USB-C M ->HDMI M 1.8m 4K 60Hz black;11.29€
A-CM-COMBO2-01;GEMBIRD A-CM-COMBO2-01 Multi Port Adapter USB Type C 2in1 HUB USB HDMI;11.59€
CA-CMHD-10CU-0010-BK;LANBERG Cable USB-C M ->HDMI M 1m 4K 60Hz black;11.59€
A-CM-VGAM-01;GEMBIRD USB-C to VGA-M adapter 2m black blister;11.69€
DA-70852;DIGITUS USB Type-C to HDMI Adapter 4K/30Hz cable length 19.5cm black;11.79€
A-CM-COMBO6-02;GEMBIRD A-CM-COMBO6-02 Multi Port Adapter USB Type C 6in1 Hub + HDMI + card reader;11.79€
A-CM-COMBO3-02;GEMBIRD A-CM-COMBO3-02 Multi Port Adapter USB type C 3in1 USB port + HDMI + PD silver;11.89€
A-USB3-HDMI-02;GEMBIRD A-USB3-HDMI-02 USB display adapter USB 3.0->HDMI black;11.99€
CA-CMHD-10CU-0030-BK;LANBERG Cable USB-C M ->HDMI M 3m 4K 60Hz black;12.19€
A-CM-COMBO5-03;GEMBIRD A-CM-COMBO5-03 Multi Port Adapter USB Type C 5in1 Hub + HDMI + PD;12.19€
DA-70821;DIGITUS DA-70821 USB-C-HDMI Adapter 1.8m 4K/30Hz black metal housing;12.59€
A-CM-HDMIF-02-SG;GEMBIRD A-CM-HDMIF-02-SG adapter USB type-C multi-adapter USB type C USB 3.0 HDMI;12.79€
CC-USB3C-DPF-01-6;GEMBIRD CC-USB3C-DPF-01-6 USB Type-C to DisplayPort male adapter cable space grey 1.8m;12.79€
66259;Goobay | USB-C HDMI adapter | 66259 | White | USB-C male | HDMI female (Type A) | 0.2 m;13.39€
NMP-1607;Natec Multi-Port Adapter, Fowler, USB-C, HDMI, USB 3.0 | Natec | USB-C Multiport Adapter | NMP-1607 | Grey | USB Type-C | 0.11 m;13.39€
TC31H;I/O ADAPTER USB-C TO HDMI/TC31H DAHUA;14.19€
RVC-HI2M;AXAGON | Active converter | USB-C to HDMI | 0.25 m;14.19€
CUA0204;USB Type-C adapter to DP/F, 8K;14.19€
CUA0205;USB Type-C adapter to mDP/F, 8K;14.19€
AB-U3M-VGAF-01;GEMBIRD AB-U3M-VGAF-01 Gembird USB 3.0 to VGA video adapter black blister (not for Apple);14.29€
RVC-DPC;Active USB-C -> DisplayPort cable - adapter AXAGON RVC-DPC for connecting a DisplayPort monitor/TV/projector to a notebook or mobile phone using USB type C connector.;14.59€
A-USB3-HDMIVGA-01;GEMBIRD A-USB3-HDMIVGA-01 USB to HDMI + VGA display adapter space grey;14.99€
A-CM-COMBO5-02;GEMBIRD A-CM-COMBO5-02 Multi Port Adapter USB Type C 5in1 Hub + HDMI + PD + stereo audio;14.99€
RVC-HI2MC;AXAGON | Active converter | USB-C to HDMI | 1.8 m;15.89€
UA0246A;LOGILINK UA0246A USB-C 3.1 to DisplayPort adapter;15.99€
C31DP60HZP;I-TEC USB C to Display Port Adapter 1x DP 4K 60Hz Ultra HD compatible with Thunderbolt 3;16.69€
60176;Goobay | USB-C to DisplayPort Adapter Cable | Silver/Black | Type-C | DisplayPort | USB-C to DisplayPort | 2 m;16.69€
MCTV-840;MACLEAN MCTV-840 Maclean MCTV-840 Adapter USB-C - HDMI / USB 3.0 / USB-C metal housing 4K OTG;16.89€
SAVKABELCL-184;Cable USB-C to HDMI v2.0b, 3m, copper CL-184;17.19€
D32047;USB-C to HDMI Adapter 4K 100W PD;17.79€
AKTBXVAU3HMPDAV;Adapter HUB USB C 3w1 - HDMI, USB, PD silver;18.49€
A-CM-COMBO6-01;GEMBIRD A-CM-COMBO6-01multi Port Adapter USB Type C 6in1 Hub3.1 HDMI VGA PD card reader stereo audio space grey;19.49€
C31HDMI60HZP;I-TEC USB C to HDMI Adapter 1x HDMI 4K 60Hz Ultra HD compatible with Thunderbolt 3;19.89€
DA-70828;DIGITUS USB-C - 2x HDMI Adapter 18cm 4K/30Hz Silver Aluminium housing;20.19€
DA-70840;DIGITUS USB 3.0 to VGA Adapter Input USB Output VGA;20.89€
