Model;Name;Price
AF210-512D3L3-V2;Graphics card GeForce GT 210 512MB DDR3 DVI HDMI VGA LP V2;36.19€
VN2103NHG6;Graphics Card|BIOSTAR|NVIDIA GeForce 210|1 GB|DDR3|64 bit|PCIE 2.0 16x|Memory 1333 MHz|GPU 589 MHz|Single Slot Fansink|1x15pin D-sub|1xDVI-D|1xHDMI|VN2103NHG6;37.59€
AF5450-1024D3L5;Graphics card Radeon HD 5450 1GB DDR3 64Bit DVI HDMI VGA LP Fan L5;39.59€
AF6450-2048D3L5;AFOX Radeon HD 6450 2GB DDR3 64Bit DVI HDMI VGA LP Fan L5;40.69€
AF220-1024D3L2;Vaizdo plokštė AFOX GeForce GT220 1GB DDR3 AF220-1024D3L2;40.79€
AF610-1024D3L7-V6;AFOX Geforce GT610 1GB DDR3 64Bit DVI HDMI VGA LP Fan 	AF610-1024D3L7-V6;40.79€
AF210-1024D2LG2-V7;Graphics card Geforce GT210 1GB DDR2 64Bit DVI HDMI VGA LP Fan V7;41.39€
AF240-1024D3L2-V2;Graphics card GeForce GT 240 1GB DDR3 128BIT DVI HDMI VGA LP Fan V2;41.39€
AF210-1024D3L5;Graphics card GeForce GT 210 1GB DDR3 64Bit DVI HDMI VGA Fan LP;41.99€
AFR5220-1024D3L5;Graphics card Radeon R5 220 1GB DDR3 64Bit DVI HDMI VGA LP;43.19€
AF6450-1024D3L9;Graphics card Radeon HD 6450 1GB DDR3 64Bit DVI HDMI VGA LP Fan;44.29€
GT 710 2GD3H LP;MSI GeForce® GT 710, 2GB DDR3 (64 Bit), HDMI, DVI, D-Sub;44.89€
AF610-2048D3L7-V8;Afox Geforce GT210 2GB DDR3;46.39€
AF710-2048D3L5-V3;AFOX GEFORCE GT710 2GB DDR3 DVI HDMI VGA LP AF710-2048D3L5-V3;47.79€
AFR5230-1024D3L9;Graphics card Radeon R5 230 1GB DDR3 64Bit DVI HDMI VGA LP Radiator;47.79€
N710-1SDV-E3BX;Inno3D GeForce GT 710, 2GB SDDR3 (64 Bit), HDMI, DVI, D-Sub;50.29€
VN6103THX6;Biostar GeForce GT610 NVIDIA GeForce GT 610 2 GB GDDR3;50.69€
AF710-2048D3L5;Graphics card Geforce GT710 2GB DDR3;51.99€
GV-N710D5-2GL;GIGABYTE GeForce GT 710 2GB GDDR5 DVI-I HDMI;53.39€
GT710-SL-2GD5-BRK-EVO;Graphics card GeForce GT 710 2GB GDDR5 EVO 64 bit DVI-D/DSUB/HDMI;53.59€
90YV0ALA-M0NA00;ASUS GT710-SL-2GD5-BRK-EVO GF GT710 2GB D-Sub DVI HDMI;54.19€
ZT-71310-10L;Zotac GeForce GT 710 NVIDIA 2 GB GDDR3;56.89€
AF710-4096D3L7-V1;Graphics card GeForce GT 710 4GB DDR3 64Bit DVI HDMI VGA LP V1;57.29€
AF750-4096D5L4-V2;AFOX Geforce GTX750 4GB GDDR5 128Bit DVI HDMI VGA LP Dual V2 AF750-4096D5L4-V2;68.19€
AF750TI-2048D5H5-V8;AFOX GEFORCE GTX750TI 2GB GDDR5 DVI HDMI VGA;70.69€
N730-1SDV-E3BX;INNO3D GeForce GT730 2GB SDDR3 64-bit 1.6Gps DVI+VGA+HDMI Heatsink;72.79€
VN7313TH41;Graphics Card|BIOSTAR|NVIDIA GeForce GT 730|4 GB|DDR3|128 bit|PCIE 2.0 16x|Memory 1333 MHz|GPU 730 MHz|Single Slot Fansink|1x15pin D-sub|1xDVI-D|1xHDMI|VN7313TH41;73.69€
