Model;Name;Price
CCDB9RECEPTACLE;Gembird DB9M - COM 9PIN lizdo išvedimas į išorę;3.79€
CCUSBRECEPTACLE;GEMBIRD CCUSBRECEPTACLE Receptacle on bracket 10P housing 25cm;4.59€
PCEM2-N;AXAGON The PCI-Express x4 internal adapter for connecting an NVMe M.2 SSD disk to a computer | PCEM2-N;7.59€
SAVIO AK-41;Adapter PCI-E to M2 AK-41;7.79€
PC0028;Logilink | 4+1-port USB 2.0 | PCI;7.99€
PCEM2-1U;AXAGON PCEM2-1U PCI-E 3.0 16x - M.2 SSD NVMe, up to 80mm SSD, low profile 1U;8.49€
DS-33170;Digitus | M.2 NGFF / NVMe SSD PCI Express 3.0 (x4) Add-On Card | DS-33170;9.19€
PCE-US3-002;LANBERG PCE-US3-002 PCI Express->USB 3.1 GEN1 2-PORT + Low profile;10.49€
PCEA-P1N;Axagon PCI-Express card with one parallel port. Low profile.;11.69€
DS-33171;Digitus | M.2 NVMe SSD PCI Express 3.0 (x16) Add-On Card | DS-33171;12.19€
SPC-22;GEMBIRD SPC-22 PCI Express card 2x serial low profile;12.29€
DS-33003;DIGITUS Serial I/O 2-Port PCI Add-On Card 2 X DB9 M Slot Bracket MCS9865 chipset;12.79€
PCEU-430RS;AXAGON PCI-Express card with four external USB-A 5Gbps ports | PCEU-430RS;13.19€
PCEU-232RS;AXAGON PCI-Express card with a pair of internal and a pair of external USB 5Gbps ports | PCEU-232RS;13.39€
PCE-LPT-001;LANBERG extension card PCI-Express LPT DB25 + low profile bracket;13.79€
PCE-US3-004;LANBERG extension card PCI Express > 4 x USB 3.1 GEN1 + low profile bracket;14.59€
PCEA-PSN;AXAGON PCI-Express card with one parallel and two serial ports 250 kbps | PCEA-PSN;14.89€
PCEA-S2N;AXAGON PCI-Express card with two 250 kbps serial ports | PCEA-S2N;15.19€
DS-30221-1;DIGITUS USB 3.0 4 port PCI Express add-on card 4 ports A / F External VL805 chipset;15.99€
DS-30220-5;USB PCI Ex Add-On card DS-30220-5;16.19€
PCE-DB9-004;LANBERG PCE-DB9-004 PCI Express->COM 9PIN X4 + Low profile bracket;16.59€
PC0031;Logilink | 2 x serial (COM) | PCIe;17.19€
PCEU-43RS;AXAGON PCI-Express card with four external USB 3.2 Gen1 ports with dual power | PCEU-43RS;17.59€
PCES-SJ2;AXAGON Two-channel SATA III PCI-Express controller with two internal SATA port outputs | PCES-SJ2;18.29€
PCEA-S4N;PCI-Express card with four serial ports 250 kbps. ASIX AX99100. Standard & Low profile.;20.99€
DS-30225;Digitus | PCIe card, USB-C 3.1 Gen 2, 10Gpbs, USB-A 3.1 | DS-30225;23.29€
Y-7504;UNITEK Y-7504 2 Port RS-232 PCI Express Card Y-7504;24.99€
DS-30020-1;DIGITUS PCIexpress Add-On card Parallel 1-port 1xDB25 F Slot Bracket+LP Bracket OXPCIe952 chipset;24.99€
PC0057;PCI Express interface card 4xUSB3.0;26.19€
DS-30226;Add-On PCI Express card DS-30226;27.39€
PC0033;Logilink | 2 x serial (COM), 1 x parallel (LPT) | PCIe;27.59€
PCES-SA4M2;Axagon Four-channel SATA III PCI-Express controller with two internal SATA ports and two slots for SATA M.2 disks. Standard & Low profile.;28.99€
PCES-SA4X4;AXAGON PCIe Controller 4x SATA 6G | PCES-SA4X4;38.39€
IB-PCI1901-C32;ICY BOX IB-PCI1901-C32 USB Type-C 3.2 PCIe controller card;40.49€
DS-30203-2;DIGITUS IEEE 1394b Interface Card PCIexpress 3 Port 2x9-Pin Extern+1x9-Pin Intern XIO2213B chipset;40.69€
PCES-SA6;AXAGON PCIe Controller 6x SATA 6G | PCES-SA6;56.89€
10GAM9901;Elgato Cam Link 4K;89.19€
PCEM2-ND;AXAGON PCIe 2x NVMe M.2 Controller | PCEM2-ND;113.19€
